,PU_datetime,DO_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long
0,2012-10-01 00:28:00,2012-10-01 00:36:00,1.26,40.72153595399992,-73.98377990999991,40.72420155499992,-73.99257987399992
1,2012-10-01 00:14:54,2012-10-01 00:30:30,2.8,40.74197084499985,-74.00779116099989,40.7050307879999,-74.01332610899988
2,2012-10-01 00:36:18,2012-10-01 00:55:17,4.5,40.70693234399989,-74.00372234899996,40.7552996949999,-73.97534377999993
3,2012-10-01 00:26:46,2012-10-01 00:37:10,1.8,40.720234238999886,-73.98447731699999,40.7050307879999,-74.01332610899988
4,2012-10-01 00:41:03,2012-10-01 00:55:39,5.1,40.72470155099989,-74.00931760399995,40.73911477252254,-73.95439555417066
5,2012-10-01 00:05:48,2012-10-01 00:19:29,3.6,40.69632013999994,-73.96062056499981,40.71982079799995,-74.001523638
6,2012-10-01 00:37:35,2012-10-01 00:41:41,1.0,40.71406913199994,-73.99750445299988,40.7050307879999,-74.01332610899988
7,2012-10-01 00:07:43,2012-10-01 00:25:13,5.4,40.720234238999886,-73.98447731699999,40.68343632399992,-73.92916130699992
8,2012-10-01 00:45:29,2012-10-01 00:50:49,1.3,40.75205360799992,-73.94345411699997,40.74914697199991,-73.93675697199996
9,2012-10-01 00:12:45,2012-10-01 00:22:22,2.8,40.76772505899991,-73.98147898799989,40.78285908899991,-73.94383256699986
10,2012-10-01 00:31:54,2012-10-01 00:43:02,2.5,40.759879715999936,-73.96177668399997,40.77351005394221,-73.99667705784736
11,2012-10-01 00:48:48,2012-10-01 00:57:36,1.9,40.78768560599987,-73.97501417199996,40.78285908899991,-73.94383256699986
12,2012-10-01 00:58:30,2012-10-01 01:08:54,3.9,40.78285908899991,-73.94383256699986,40.74542088999988,-73.99096832799995
13,2012-10-01 00:08:19,2012-10-01 00:15:15,2.4,40.74542088999988,-73.99096832799995,40.75519332399994,-73.9712170449999
14,2012-10-01 00:40:21,2012-10-01 00:46:09,2.1,40.72901638499997,-74.00250642399995,40.75551634599986,-73.98362433299988
15,2012-10-01 00:12:32,2012-10-01 00:16:48,0.6,40.74044408899989,-74.00201937799989,40.72901638499997,-74.00250642399995
16,2012-10-01 00:40:08,2012-10-01 00:52:24,3.4,40.71982079799995,-74.001523638,40.689146163999936,-73.98155298299992
17,2012-10-01 00:56:50,2012-10-01 01:00:24,0.6,40.689146163999936,-73.98155298299992,40.69240674985267,-74.00174362072502
18,2012-10-01 00:11:38,2012-10-01 00:16:43,1.1,40.81429809399993,-73.95707738499995,40.82829635099988,-73.93924885699987
19,2012-10-01 00:04:31,2012-10-01 00:24:39,5.5,40.71664465899988,-73.99580912300002,40.77359989699994,-73.95779380499984
20,2012-10-01 00:23:05,2012-10-01 00:45:19,5.9,40.73141124499994,-73.98238628799993,40.76752031699986,-73.90413637799996
21,2012-10-01 00:13:00,2012-10-01 00:21:00,1.4,40.750451608999896,-73.98729377099981,40.76783673899992,-73.98136213699995
22,2012-10-01 00:36:00,2012-10-01 01:04:00,7.87,40.77351005394221,-73.99667705784736,40.701424434999886,-73.94306406899986
23,2012-10-01 00:16:16,2012-10-01 00:33:40,6.1,40.759879715999936,-73.96177668399997,40.7059460290057,-73.97906084869959
24,2012-10-01 00:44:28,2012-10-01 00:51:02,1.9,40.720234238999886,-73.98447731699999,40.74040257875024,-73.97219641647804
25,2012-10-01 00:25:51,2012-10-01 00:43:56,9.3,40.78603815125499,-73.8712485624251,40.72755978299991,-73.99136388099987
26,2012-10-01 00:41:37,2012-10-01 00:44:29,0.5,40.72153595399992,-73.98377990999991,40.72420155499992,-73.99257987399992
27,2012-10-01 00:58:00,2012-10-01 01:04:07,0.9,40.72901638499997,-74.00250642399995,40.71982079799995,-74.001523638
28,2012-10-01 00:16:05,2012-10-01 00:21:40,1.1,40.75532984899993,-73.99117738199989,40.75193959699992,-73.96547092299994
29,2012-10-01 00:15:55,2012-10-01 00:19:28,1.0,40.72901638499997,-74.00250642399995,40.72831405499991,-74.00269315099992
30,2012-10-01 00:25:08,2012-10-01 00:40:03,4.4,40.71982079799995,-74.001523638,40.780328934999936,-73.98162787399998
31,2012-10-01 00:00:10,2012-10-01 00:21:24,7.0,40.76772505899991,-73.98147898799989,40.69632013999994,-73.96062056499981
32,2012-10-01 00:30:17,2012-10-01 00:51:25,13.2,40.66358013399984,-73.8250346749999,,
33,2012-10-01 00:06:04,2012-10-01 00:15:40,2.5,40.74040257875024,-73.97219641647804,40.72901638499997,-74.00250642399995
34,2012-10-01 00:29:20,2012-10-01 00:42:34,5.0,40.720234238999886,-73.98447731699999,40.78285908899991,-73.94383256699986
35,2012-10-01 00:22:33,2012-10-01 00:27:36,1.6,40.76267135909888,-74.00439976203513,40.76772505899991,-73.98147898799989
36,2012-10-01 00:02:19,2012-10-01 00:20:43,8.5,40.7059460290057,-73.97906084869959,40.62427426799996,-73.99254973599997
37,2012-10-01 00:51:13,2012-10-01 00:57:18,1.3,40.720234238999886,-73.98447731699999,40.71982079799995,-74.001523638
38,2012-10-01 00:05:46,2012-10-01 00:12:00,2.7,40.7439431149999,-73.98362519999995,40.72470155099989,-74.00931760399995
39,2012-10-01 00:27:12,2012-10-01 00:45:01,10.5,40.72470155099989,-74.00931760399995,40.76752031699986,-73.90413637799996
40,2012-10-01 00:33:24,2012-10-01 00:47:05,7.6,40.77301984499992,-73.95218621999996,40.71330630099992,-73.95834207500002
41,2012-10-01 00:11:51,2012-10-01 00:22:04,1.8,40.74908727499994,-73.90989961499994,40.74407171799994,-73.86768504899995
42,2012-10-01 00:23:00,2012-10-01 00:42:00,1.39,40.66358013399984,-73.8250346749999,40.7038734199999,-73.91254913799993
43,2012-10-01 00:36:00,2012-10-01 00:53:00,8.72,40.79254666899993,-73.94103496899987,40.71330630099992,-73.95834207500002
