,PU_datetime,DO_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long
0,2012-03-01 00:00:07,2012-03-01 00:18:58,4.0,40.70337714093203,-73.99619227264343,40.7038734199999,-73.91254913799993
1,2012-03-01 00:37:18,2012-03-01 00:50:49,3.9,40.720234238999886,-73.98447731699999,40.68100852199996,-73.98610388199985
2,2012-03-01 00:12:02,2012-03-01 00:14:06,0.9,40.75193959699992,-73.96547092299994,40.75515238425916,-73.96162927534907
3,2012-03-01 00:17:37,2012-03-01 00:24:26,1.0,40.75193959699992,-73.96547092299994,40.75551634599986,-73.98362433299988
4,2012-03-01 00:28:42,2012-03-01 01:03:13,8.0,40.75551634599986,-73.98362433299988,40.69632013999994,-73.96062056499981
5,2012-03-01 00:01:13,2012-03-01 00:13:42,2.3,40.76783673899992,-73.98136213699995,40.73804374699991,-73.9963368949999
6,2012-03-01 00:00:23,2012-03-01 00:11:19,5.0,40.70693234399989,-74.00372234899996,40.75519332399994,-73.9712170449999
7,2012-03-01 00:13:33,2012-03-01 00:25:35,3.2,40.75519332399994,-73.9712170449999,40.78596738899997,-73.96884378999985
8,2012-03-01 00:35:29,2012-03-01 00:45:52,2.2,40.780328934999936,-73.98162787399998,40.7552996949999,-73.97534377999993
9,2012-03-01 00:53:05,2012-03-01 00:59:00,1.7,40.75519332399994,-73.9712170449999,40.73490456699995,-73.98996936399989
10,2012-03-01 00:34:00,2012-03-01 00:42:00,2.51,40.73490456699995,-73.98996936399989,40.72470155099989,-74.00931760399995
11,2012-03-01 00:55:00,2012-03-01 01:08:00,4.31,40.72420155499992,-73.99257987399992,40.76772505899991,-73.98147898799989
12,2012-03-01 00:04:07,2012-03-01 00:07:54,1.7,40.75193959699992,-73.96547092299994,40.78285908899991,-73.94383256699986
13,2012-03-01 00:23:58,2012-03-01 00:27:51,1.3,40.77359989699994,-73.95779380499984,40.816512493247096,-73.93380589881859
14,2012-03-01 00:05:56,2012-03-01 00:11:48,0.7,40.73539025499987,-73.97511055399991,40.73141124499994,-73.98238628799993
15,2012-03-01 00:19:24,2012-03-01 00:33:42,2.7,40.73490456699995,-73.98996936399989,40.76772505899991,-73.98147898799989
16,2012-03-01 00:08:21,2012-03-01 00:14:42,1.8,40.72755978299991,-73.99136388099987,40.74542088999988,-73.99096832799995
17,2012-03-01 00:15:07,2012-03-01 00:20:11,1.0,40.74542088999988,-73.99096832799995,40.745804967999945,-73.97203331099983
18,2012-03-01 00:39:02,2012-03-01 00:55:09,4.2,40.72901638499997,-74.00250642399995,40.759879715999936,-73.96177668399997
19,2012-03-01 00:42:31,2012-03-01 01:08:37,7.0,40.72582128133706,-73.97177410965318,40.6643026319999,-73.95729172699996
20,2012-03-01 00:54:18,2012-03-01 01:13:42,8.4,40.75849562296791,-73.95854329689507,40.68100852199996,-73.98610388199985
21,2012-03-01 00:05:16,2012-03-01 00:10:02,1.6,,,,
22,2012-03-01 00:32:05,2012-03-01 00:33:41,0.6,,,,
23,2012-03-01 00:51:17,2012-03-01 00:55:07,0.4,,,,
24,2012-03-01 00:12:23,2012-03-01 00:19:40,2.4,40.7552996949999,-73.97534377999993,40.78285908899991,-73.94383256699986
25,2012-03-01 00:25:36,2012-03-01 00:49:03,7.6,40.759879715999936,-73.96177668399997,40.851315432999854,-73.94068822000003
26,2012-03-01 00:04:00,2012-03-01 00:11:00,2.02,40.72755978299991,-73.99136388099987,40.750451608999896,-73.98729377099981
27,2012-03-01 00:16:00,2012-03-01 00:44:00,8.92,40.75532984899993,-73.99117738199989,40.68228732999989,-73.998192111
28,2012-03-01 00:10:00,2012-03-01 00:14:00,1.4,40.75849562296791,-73.95854329689507,40.77359989699994,-73.95779380499984
29,2012-03-01 00:26:00,2012-03-01 00:36:00,3.64,40.75519332399994,-73.9712170449999,40.74908727499994,-73.90989961499994
30,2012-03-01 00:37:00,2012-03-01 00:44:00,2.16,40.59717158499997,-73.97148350899987,40.58508559299986,-73.9301907789999
31,2012-03-01 00:32:14,2012-03-01 00:42:59,3.9,40.75551634599986,-73.98362433299988,40.72470155099989,-74.00931760399995
32,2012-03-01 00:46:48,2012-03-01 01:14:25,8.9,40.72470155099989,-74.00931760399995,40.76752031699986,-73.90413637799996
33,2012-03-01 00:01:25,2012-03-01 00:14:21,3.5,40.72831405499991,-74.00269315099992,40.72805372769668,-73.93174841322003
34,2012-03-01 00:35:53,2012-03-01 01:00:28,8.4,40.72522879205536,-73.96176070375392,40.7987185259999,-73.95953658899997
35,2012-03-01 00:43:00,2012-03-01 01:08:00,17.2,40.66358013399984,-73.8250346749999,40.60303462599993,-74.00109809499993
36,2012-03-01 00:50:20,2012-03-01 01:06:11,4.7,40.72582128133706,-73.97177410965318,40.68228732999989,-73.998192111
37,2012-03-01 00:36:17,2012-03-01 00:52:54,6.6,40.81429809399993,-73.95707738499995,40.88441707499996,-73.88840157099996
38,2012-03-01 00:10:38,2012-03-01 00:11:00,0.0,40.75205360799992,-73.94345411699997,40.75205360799992,-73.94345411699997
39,2012-03-01 00:16:48,2012-03-01 00:23:10,1.4,40.71664465899988,-73.99580912300002,40.74197084499985,-74.00779116099989
40,2012-03-01 00:20:18,2012-03-01 00:38:42,4.8,40.75551634599986,-73.98362433299988,40.74908727499994,-73.90989961499994
41,2012-03-01 00:05:18,2012-03-01 00:08:55,0.7,40.77359989699994,-73.95779380499984,40.79254666899993,-73.94103496899987
42,2012-03-01 00:16:44,2012-03-01 00:22:32,1.4,40.76217929999994,-73.96612747299989,40.77359989699994,-73.95779380499984
