start_datetime,end_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long,temp,visibility,wind_speed,rain_1h,snow_1h,weather,PU_pop_count,DO_pop_count,special_events,drive_events,
2012-01-01 0:44,2012-01-01 0:48,0.1,40.75529969,-73.97534378,40.74394311,-73.9836252,11.24,10000,7.7,0,0,overcast clouds,220.42021,220.42021,Football game,Construction,
2012-01-01 0:49,2012-01-01 1:10,4.4,40.74394311,-73.9836252,40.71905767,-74.01244109,11.24,10000,7.7,0,0,overcast clouds,220.42021,220.42021,Football game,Construction,
2012-01-01 0:14,2012-01-01 0:27,2.8,40.72755978,-73.99136388,40.77351005,-73.99667706,11.24,10000,7.7,0,0,overcast clouds,33.247555,33.247555,Football game,NaN,
2012-01-01 0:51,2012-01-01 1:05,1.5,40.74542089,-73.99096833,40.74044409,-74.00201938,11.24,10000,7.7,0,0,overcast clouds,65.32645,332.85138,Football game,Construction,
2012-01-01 0:20,2012-01-01 0:32,2.6,40.70477525,-74.00974639,40.73490457,-73.98996936,11.24,10000,7.7,0,0,overcast clouds,227.92868,227.92868,Football game,Construction,
2012-01-01 0:34,2012-01-01 0:42,0.7,40.73141124,-73.98238629,40.74394311,-73.9836252,11.24,10000,7.7,0,0,overcast clouds,362.40216,220.42021,NaN,NaN,
2012-01-01 0:44,2012-01-01 1:04,4.1,40.74394311,-73.9836252,40.71905767,-74.01244109,11.24,10000,7.7,0,0,overcast clouds,220.42021,220.42021,Football game,Construction,
2012-01-01 0:19,2012-01-01 0:21,0.5,40.72153595,-73.98377991,40.72153595,-73.98377991,11.24,10000,7.7,0,0,overcast clouds,235.43362,235.43362,Football game,Construction,
2012-01-01 0:23,2012-01-01 0:34,1.4,40.72153595,-73.98377991,40.74197084,-74.00779116,11.24,10000,7.7,0,0,overcast clouds,235.43362,235.43362,Football game,Construction,
2012-01-01 0:39,2012-01-01 0:50,2.4,40.73490457,-73.98996936,40.75515238,-73.96162928,11.24,10000,7.7,0,0,overcast clouds,227.92868,227.92868,Football game,Construction,
2012-01-01 0:17,2012-01-01 0:45,10.5,40.75987972,-73.96177668,40.66581508,-73.97583132,11.24,10000,7.7,0,0,overcast clouds,0.2974199,0.2974199,NaN,Construction,
2012-01-01 0:42,2012-01-01 0:59,5.6,40.66581508,-73.97583132,40.61254949,-73.96285974,11.24,10000,7.7,0,0,overcast clouds,147.51926,147.51926,NaN,Construction,
2012-01-01 0:30,2012-01-01 0:37,1.1,40.72470155,-74.0093176,40.71905767,-74.01244109,11.24,10000,7.7,0,0,overcast clouds,307.87784,307.87784,NaN,NaN,
2012-01-01 0:47,2012-01-01 1:08,6.4,40.72470155,-74.0093176,40.79301293,-73.96371096,11.24,10000,7.7,0,0,overcast clouds,307.87784,307.87784,NaN,NaN,
2012-01-01 0:42,2012-01-01 1:10,6.5,40.74044409,-74.00201938,40.82829635,-73.93924886,11.24,10000,7.7,0,0,overcast clouds,332.85138,332.85138,Football game,NaN,
2012-01-01 0:26,2012-01-01 0:44,6.2,40.68343632,-73.92916131,40.75205361,-73.94345412,11.24,10000,7.7,0,0,overcast clouds,46.96837,46.96837,Football game,NaN,
2012-01-01 0:03,2012-01-01 0:07,1.2,40.75987972,-73.96177668,40.75519332,-73.97121704,11.24,10000,7.7,0,0,overcast clouds,0.2974199,153.63757,Football game,NaN,
2012-01-01 0:10,2012-01-01 0:12,0.1,40.7621793,-73.96612747,40.7621793,-73.96612747,11.24,10000,7.7,0,0,overcast clouds,131.35025,131.35025,Football game,NaN,
2012-01-01 0:16,2012-01-01 0:20,0.6,40.7621793,-73.96612747,40.7621793,-73.96612747,11.24,10000,7.7,0,0,overcast clouds,131.35025,131.35025,Football game,NaN,
2012-01-01 0:21,2012-01-01 0:40,5.8,40.7735999,-73.9577938,40.71913288,-73.97635525,11.24,10000,7.7,0,0,overcast clouds,360.04886,360.04886,Concert,NaN,
2012-01-01 0:40,2012-01-01 0:57,4.1,40.71913288,-73.97635525,40.69632014,-73.96062056,11.24,10000,7.7,0,0,overcast clouds,21.61123,21.61123,Show,Construction,
2012-01-01 0:18,2012-01-01 0:34,2.8,40.7735999,-73.9577938,40.73490457,-73.98996936,11.24,10000,7.7,0,0,overcast clouds,360.04886,227.92868,Basketball game,Construction,
2012-01-01 0:37,2012-01-01 0:51,1.1,40.73490457,-73.98996936,40.75529969,-73.97534378,11.24,10000,7.7,0,0,overcast clouds,227.92868,227.92868,Concert,Construction,
2012-01-01 0:15,2012-01-01 0:23,1.6,40.81429809,-73.95707738,40.78596739,-73.96884379,11.24,10000,7.7,0,0,overcast clouds,132.88875,128.92758,Tennis tournament,NaN,
2012-01-01 0:24,2012-01-01 0:40,2.8,40.78768561,-73.97501417,40.75529969,-73.97534378,11.24,10000,7.7,0,0,overcast clouds,349.79166,349.79166,Concert,Construction,
2012-01-01 0:56,2012-01-01 1:23,3.6,40.74580497,-73.97203331,40.74914697,-73.93675697,11.24,10000,7.7,0,0,overcast clouds,357.80237,357.80237,Show,Construction,
2012-01-01 0:31,2012-01-01 0:56,6,40.75532985,-73.99117738,40.70503079,-74.01332611,11.24,10000,7.7,0,0,overcast clouds,0.8986127,0.8986127,Basketball game,Construction,
2012-01-01 0:58,2012-01-01 1:09,3.5,40.70503079,-74.01332611,40.74542089,-73.99096833,11.24,10000,7.7,0,0,overcast clouds,65.32645,65.32645,Basketball game,Construction,
2012-01-01 0:12,2012-01-01 0:17,0.5,40.71664466,-73.99580912,40.71406913,-73.99750445,11.24,10000,7.7,0,0,overcast clouds,114.068275,114.699585,NaN,NaN,
2012-01-01 0:22,2012-01-01 0:24,0.3,40.72470155,-74.0093176,40.72470155,-74.0093176,11.24,10000,7.7,0,0,overcast clouds,307.87784,307.87784,NaN,Construction,
