,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,2,2012-05-01 00:13:00,2012-05-01 00:24:00,2,2.91,1,,256,79,1,9.7,0.5,0.5,2.04,0.0,0.0,12.74,,
1,1,2012-05-01 00:04:37,2012-05-01 00:09:19,2,0.5,1,N,237,163,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
2,1,2012-05-01 00:11:29,2012-05-01 00:18:09,2,1.6,1,N,163,140,1,6.1,0.5,0.5,1.42,0.0,0.0,8.52,,
3,1,2012-05-01 00:24:45,2012-05-01 00:33:21,1,3.5,1,N,141,7,2,9.7,0.5,0.5,0.0,0.0,0.0,10.7,,
4,1,2012-05-01 00:08:33,2012-05-01 00:29:38,1,7.5,1,N,113,228,1,19.7,0.5,0.5,5.15,0.0,0.0,25.85,,
5,1,2012-05-01 00:19:17,2012-05-01 00:44:42,1,14.7,1,N,79,197,2,33.3,0.5,0.5,0.0,0.0,0.0,34.3,,
6,1,2012-05-01 00:09:04,2012-05-01 00:17:04,1,2.3,1,N,114,161,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
7,1,2012-05-01 00:26:38,2012-05-01 00:33:12,1,0.9,1,N,249,79,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
8,1,2012-05-01 00:46:03,2012-05-01 00:57:03,1,2.4,1,N,249,230,2,8.9,0.5,0.5,0.0,0.0,0.0,9.9,,
9,1,2012-05-01 00:04:14,2012-05-01 00:14:37,1,4.3,1,N,107,75,2,11.3,0.5,0.5,0.0,0.0,0.0,12.3,,
10,1,2012-05-01 00:21:21,2012-05-01 00:22:20,1,0.1,1,N,141,141,2,2.9,0.5,0.5,0.0,0.0,0.0,3.9,,
11,2,2012-05-01 00:01:00,2012-05-01 00:20:00,1,4.11,1,,162,231,1,12.9,0.5,0.5,2.0,0.0,0.0,15.9,,
12,1,2012-05-01 00:37:37,2012-05-01 00:51:18,1,4.2,1,N,68,232,2,12.5,0.5,0.5,0.0,0.0,0.0,13.5,,
13,1,2012-05-01 00:27:58,2012-05-01 00:34:44,1,4.7,1,N,233,88,2,11.7,0.5,0.5,0.0,0.0,0.0,12.7,,
14,1,2012-05-01 00:50:50,2012-05-01 01:08:19,1,13.5,1,N,137,216,1,29.7,0.5,0.5,7.1,4.8,0.0,42.6,,
15,2,2012-05-01 00:02:00,2012-05-01 00:14:00,1,3.68,1,,48,263,1,10.5,0.5,0.5,2.75,0.0,0.0,14.25,,
16,2,2012-05-01 00:33:00,2012-05-01 00:48:00,1,4.77,1,,142,42,2,13.7,0.5,0.5,0.0,0.0,0.0,14.7,,
17,1,2012-05-01 00:53:21,2012-05-01 00:53:38,1,0.0,1,N,145,145,2,2.5,0.5,0.5,0.0,0.0,0.0,3.5,,
18,1,2012-05-01 00:01:37,2012-05-01 00:11:28,1,1.8,1,N,237,48,2,8.1,0.5,0.5,0.0,0.0,0.0,9.1,,
19,1,2012-05-01 00:08:13,2012-05-01 00:16:23,1,2.9,1,N,48,151,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
20,1,2012-05-01 00:19:47,2012-05-01 00:26:16,1,1.1,1,N,151,41,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
21,1,2012-05-01 00:51:44,2012-05-01 00:53:06,1,0.1,1,N,161,161,3,2.9,0.5,0.5,0.0,0.0,0.0,3.9,,
22,1,2012-05-01 00:59:55,2012-05-01 01:13:53,1,5.8,1,N,170,261,2,14.9,0.5,0.5,0.0,0.0,0.0,15.9,,
23,2,2012-05-01 00:24:00,2012-05-01 00:44:00,1,6.87,1,,231,238,2,18.9,0.5,0.5,0.0,0.0,0.0,19.9,,
24,1,2012-05-01 00:36:00,2012-05-01 00:54:49,1,6.8,1,N,166,145,1,18.1,0.5,0.5,2.9,0.0,0.0,22.0,,
25,1,2012-05-01 00:12:40,2012-05-01 00:17:00,2,0.8,1,N,148,114,2,4.9,0.5,0.5,0.0,0.0,0.0,5.9,,
26,1,2012-05-01 00:26:56,2012-05-01 00:37:21,2,2.1,1,N,249,68,2,8.1,0.5,0.5,0.0,0.0,0.0,9.1,,
27,1,2012-05-01 00:39:08,2012-05-01 00:51:43,1,2.9,1,N,186,141,1,10.1,0.5,0.5,2.05,0.0,0.0,13.15,,
28,1,2012-05-01 00:08:33,2012-05-01 00:11:58,1,1.1,1,N,142,238,2,4.9,0.5,0.5,0.0,0.0,0.0,5.9,,
29,1,2012-05-01 00:41:10,2012-05-01 00:47:10,1,1.4,1,N,230,163,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
30,1,2012-05-01 00:07:57,2012-05-01 00:17:01,1,2.2,1,N,48,249,3,7.3,0.5,0.5,0.0,0.0,0.0,8.3,,
31,1,2012-05-01 00:34:43,2012-05-01 00:44:34,1,2.4,1,N,230,236,1,8.9,0.5,0.5,2.1,0.0,0.0,12.0,,
32,1,2012-05-01 00:16:34,2012-05-01 00:26:44,1,3.1,1,N,142,263,1,9.7,0.5,0.5,1.3,0.0,0.0,12.0,,
33,1,2012-05-01 00:29:27,2012-05-01 00:37:43,1,1.9,1,N,236,24,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
34,1,2012-05-01 00:49:33,2012-05-01 01:15:25,1,7.3,1,N,143,49,1,20.1,0.5,0.5,5.27,0.0,0.0,26.37,,
35,1,2012-05-01 00:38:58,2012-05-01 00:45:45,1,1.4,1,N,230,163,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
36,1,2012-05-01 00:59:04,2012-05-01 01:17:20,1,8.6,1,N,237,243,1,21.7,0.5,0.5,4.54,0.0,0.0,27.24,,
37,1,2012-05-01 00:03:06,2012-05-01 00:07:08,1,0.8,1,N,7,7,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
38,1,2012-05-01 00:25:16,2012-05-01 00:35:32,1,2.3,1,N,186,229,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
39,1,2012-05-01 00:37:28,2012-05-01 00:39:48,1,1.0,1,N,229,140,1,4.5,0.5,0.5,1.1,0.0,0.0,6.6,,
40,1,2012-05-01 00:56:44,2012-05-01 01:03:08,1,1.4,1,N,230,143,1,6.5,0.5,0.5,1.25,0.0,0.0,8.75,,
41,1,2012-05-01 00:10:13,2012-05-01 00:14:50,1,1.9,1,N,246,142,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
42,1,2012-05-01 00:16:09,2012-05-01 00:38:21,1,8.5,1,N,43,213,1,22.1,0.5,0.5,1.0,0.0,0.0,24.1,,
43,1,2012-05-01 00:14:58,2012-05-01 00:19:43,1,0.7,1,N,142,143,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
44,1,2012-05-01 00:03:15,2012-05-01 00:22:38,3,4.1,1,N,231,170,2,12.9,0.5,0.5,0.0,0.0,0.0,13.9,,
45,1,2012-05-01 00:27:46,2012-05-01 00:36:33,1,2.3,1,N,164,125,1,8.1,0.5,0.5,2.0,0.0,0.0,11.1,,
46,1,2012-05-01 00:48:23,2012-05-01 01:18:08,2,2.6,1,N,97,228,1,16.5,0.5,0.5,1.5,0.0,0.0,19.0,,
47,1,2012-05-01 00:12:10,2012-05-01 00:30:27,2,6.7,1,N,125,24,1,18.1,0.5,0.5,2.0,0.0,0.0,21.1,,
48,1,2012-05-01 00:37:46,2012-05-01 00:43:36,3,1.8,1,N,238,152,2,6.9,0.5,0.5,0.0,0.0,0.0,7.9,,
49,1,2012-05-01 00:53:09,2012-05-01 01:07:34,4,4.2,1,N,24,229,2,12.9,0.5,0.5,0.0,0.0,0.0,13.9,,
50,2,2012-05-01 00:17:00,2012-05-01 00:42:00,1,18.83,1,,132,66,2,40.9,0.5,0.5,0.0,0.0,0.0,41.9,,
51,1,2012-05-01 00:20:46,2012-05-01 00:34:44,2,4.2,1,N,229,7,2,12.1,0.5,0.5,0.0,0.0,0.0,13.1,,
52,1,2012-05-01 00:53:13,2012-05-01 00:57:33,1,1.4,1,N,48,239,1,5.3,0.5,0.5,1.7,0.0,0.0,8.0,,
53,1,2012-05-01 00:08:04,2012-05-01 00:18:09,1,2.6,1,N,239,41,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
54,1,2012-05-01 00:30:32,2012-05-01 00:36:27,1,1.6,1,N,166,238,1,6.5,0.5,0.5,1.5,0.0,0.0,9.0,,
55,1,2012-05-01 00:02:16,2012-05-01 00:07:04,2,1.4,1,N,255,112,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
56,1,2012-05-01 00:09:50,2012-05-01 00:13:29,2,0.9,1,N,112,255,1,4.5,0.5,0.5,1.37,0.0,0.0,6.87,,
57,1,2012-05-01 00:05:47,2012-05-01 00:17:44,1,2.9,1,N,100,239,2,10.1,0.5,0.5,0.0,0.0,0.0,11.1,,
58,1,2012-05-01 00:34:39,2012-05-01 00:36:01,1,0.2,1,N,237,43,2,2.9,0.5,0.5,0.0,0.0,0.0,3.9,,
59,1,2012-05-01 00:47:37,2012-05-01 00:55:38,1,2.5,1,N,239,162,2,8.1,0.5,0.5,0.0,0.0,0.0,9.1,,
60,1,2012-05-01 00:13:22,2012-05-01 00:34:59,1,6.6,1,N,161,52,1,18.5,0.5,0.5,4.87,0.0,0.0,24.37,,
