,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,2,2012-10-01 00:28:00,2012-10-01 00:36:00,1,1.26,1,,79,114,2,6.0,0.5,0.5,0.0,0.0,0.0,7.0,,
1,1,2012-10-01 00:14:54,2012-10-01 00:30:30,1,2.8,1,N,158,261,2,12.5,0.5,0.5,0.0,0.0,0.0,13.5,,
2,1,2012-10-01 00:36:18,2012-10-01 00:55:17,2,4.5,1,N,87,161,2,17.5,0.5,0.5,0.0,0.0,0.0,18.5,,
3,1,2012-10-01 00:26:46,2012-10-01 00:37:10,1,1.8,4,N,148,261,2,9.5,0.5,0.5,0.0,0.0,0.0,10.5,,
4,1,2012-10-01 00:41:03,2012-10-01 00:55:39,1,5.1,4,N,231,112,1,17.5,0.5,0.5,4.62,0.0,0.0,23.12,,
5,1,2012-10-01 00:05:48,2012-10-01 00:19:29,1,3.6,1,N,49,211,1,13.0,0.5,0.5,2.8,0.0,0.0,16.8,,
6,1,2012-10-01 00:37:35,2012-10-01 00:41:41,1,1.0,1,N,45,261,2,5.0,0.5,0.5,0.0,0.0,0.0,6.0,,
7,1,2012-10-01 00:07:43,2012-10-01 00:25:13,2,5.4,1,N,148,61,1,18.5,0.5,0.5,3.9,0.0,0.0,23.4,,
8,1,2012-10-01 00:45:29,2012-10-01 00:50:49,2,1.3,1,N,145,146,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
9,1,2012-10-01 00:12:45,2012-10-01 00:22:22,1,2.8,1,N,142,262,2,11.0,0.5,0.5,0.0,0.0,0.0,12.0,,
10,1,2012-10-01 00:31:54,2012-10-01 00:43:02,2,2.5,1,N,141,50,2,11.0,0.5,0.5,0.0,0.0,0.0,12.0,,
11,1,2012-10-01 00:48:48,2012-10-01 00:57:36,1,1.9,1,N,239,262,2,9.5,0.5,0.5,0.0,0.0,0.0,10.5,,
12,1,2012-10-01 00:58:30,2012-10-01 01:08:54,1,3.9,1,N,262,186,2,13.5,0.5,0.5,0.0,0.0,0.0,14.5,,
13,1,2012-10-01 00:08:19,2012-10-01 00:15:15,1,2.4,1,N,186,162,1,8.5,0.5,0.5,1.9,0.0,0.0,11.4,,
14,1,2012-10-01 00:40:21,2012-10-01 00:46:09,1,2.1,1,N,249,230,2,8.0,0.5,0.5,0.0,0.0,0.0,9.0,,
15,1,2012-10-01 00:12:32,2012-10-01 00:16:48,1,0.6,1,N,68,249,2,5.0,0.5,0.5,0.0,0.0,0.0,6.0,,
16,1,2012-10-01 00:40:08,2012-10-01 00:52:24,1,3.4,1,N,211,25,1,13.0,0.5,0.5,1.0,0.0,0.0,15.0,,
17,1,2012-10-01 00:56:50,2012-10-01 01:00:24,3,0.6,1,N,25,54,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
18,1,2012-10-01 00:11:38,2012-10-01 00:16:43,1,1.1,1,N,166,116,2,6.0,0.5,0.5,0.0,0.0,0.0,7.0,,
19,1,2012-10-01 00:04:31,2012-10-01 00:24:39,1,5.5,1,N,144,236,2,19.0,0.5,0.5,0.0,0.0,0.0,20.0,,
20,1,2012-10-01 00:23:05,2012-10-01 00:45:19,1,5.9,1,N,107,7,1,21.5,0.5,0.5,4.5,0.0,0.0,27.0,,
21,2,2012-10-01 00:13:00,2012-10-01 00:21:00,2,1.4,1,,100,163,2,7.0,0.5,0.5,0.0,0.0,0.0,8.0,,
22,2,2012-10-01 00:36:00,2012-10-01 01:04:00,1,7.87,1,,50,17,1,26.0,0.5,0.5,1.0,0.0,0.0,28.0,,
23,1,2012-10-01 00:16:16,2012-10-01 00:33:40,1,6.1,1,N,141,66,2,19.5,0.5,0.5,0.0,0.0,0.0,20.5,,
24,1,2012-10-01 00:44:28,2012-10-01 00:51:02,2,1.9,1,N,148,137,1,8.0,0.5,0.5,1.8,0.0,0.0,10.8,,
25,1,2012-10-01 00:25:51,2012-10-01 00:43:56,1,9.3,1,N,138,113,1,27.0,0.5,0.5,5.0,4.8,0.0,37.8,,
26,1,2012-10-01 00:41:37,2012-10-01 00:44:29,2,0.5,1,Y,79,114,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
27,1,2012-10-01 00:58:00,2012-10-01 01:04:07,1,0.9,1,Y,249,211,2,6.0,0.5,0.5,0.0,0.0,0.0,7.0,,
28,1,2012-10-01 00:16:05,2012-10-01 00:21:40,1,1.1,1,N,48,233,1,6.0,0.5,0.5,0.5,0.0,0.0,7.5,,
29,1,2012-10-01 00:15:55,2012-10-01 00:19:28,1,1.0,1,N,249,125,2,5.0,0.5,0.5,0.0,0.0,0.0,6.0,,
30,1,2012-10-01 00:25:08,2012-10-01 00:40:03,1,4.4,1,N,211,143,1,15.0,0.5,0.5,3.2,0.0,0.0,19.2,,
31,1,2012-10-01 00:00:10,2012-10-01 00:21:24,3,7.0,1,N,142,49,2,22.5,0.5,0.5,0.0,0.0,0.0,23.5,,
32,1,2012-10-01 00:30:17,2012-10-01 00:51:25,1,13.2,5,N,132,265,2,40.0,0.0,0.0,0.0,0.0,0.0,40.0,,
