,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2012-11-01 00:32:48,2012-11-01 00:46:09,2,3.5,1,N,141,179,2,13.5,0.5,0.5,0.0,0.0,0.0,14.5,,
1,1,2012-11-01 00:18:06,2012-11-01 00:32:22,1,8.0,1,N,255,227,1,23.0,0.5,0.5,4.8,0.0,0.0,28.8,,
2,1,2012-11-01 00:41:05,2012-11-01 00:53:17,1,3.4,1,Y,162,45,2,12.0,0.5,0.5,0.0,0.0,0.0,13.0,,
3,2,2012-11-01 00:54:00,2012-11-01 00:58:00,1,0.89,1,,7,179,2,5.5,0.5,0.5,0.0,0.0,0.0,6.5,,
4,1,2012-11-01 00:18:06,2012-11-01 00:46:44,1,7.4,1,N,239,136,2,29.5,0.5,0.5,0.0,0.0,0.0,30.5,,
5,1,2012-11-01 00:19:15,2012-11-01 00:24:48,1,1.5,1,N,141,233,1,7.0,0.5,0.5,1.0,0.0,0.0,9.0,,
6,1,2012-11-01 00:46:42,2012-11-01 01:19:11,1,20.3,2,N,132,239,1,52.0,0.0,0.5,2.0,4.8,0.0,59.3,,
7,1,2012-11-01 00:39:59,2012-11-01 00:42:06,1,0.8,1,N,236,75,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
8,1,2012-11-01 00:47:04,2012-11-01 00:55:29,1,2.2,1,N,75,168,1,9.5,0.5,0.5,0.0,0.0,0.0,10.5,,
9,2,2012-11-01 00:50:00,2012-11-01 00:59:00,1,3.06,4,,165,29,2,11.0,0.5,0.5,0.0,0.0,0.0,12.0,,
10,1,2012-11-01 00:15:33,2012-11-01 00:15:33,1,1.9,1,N,166,166,2,2.5,0.5,0.5,0.0,0.0,0.0,3.5,,
11,1,2012-11-01 00:16:23,2012-11-01 00:34:21,1,5.3,1,N,166,243,2,19.0,0.5,0.5,0.0,0.0,0.0,20.0,,
12,1,2012-11-01 00:48:11,2012-11-01 01:00:30,1,0.0,1,N,243,243,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
13,1,2012-11-01 00:31:01,2012-11-01 00:39:57,4,2.6,1,N,263,142,1,10.5,0.5,0.5,2.3,0.0,0.0,13.8,,
14,1,2012-11-01 00:51:05,2012-11-01 00:54:03,2,1.0,1,N,48,143,2,5.0,0.5,0.5,0.0,0.0,0.0,6.0,,
15,1,2012-11-01 00:59:49,2012-11-01 01:18:51,3,7.9,1,N,239,220,1,24.5,0.5,0.5,5.54,2.2,0.0,33.24,,
16,1,2012-11-01 00:09:12,2012-11-01 00:20:09,1,2.4,1,N,238,116,2,10.5,0.5,0.5,0.0,0.0,0.0,11.5,,
17,1,2012-11-01 00:23:42,2012-11-01 00:43:48,1,3.8,1,N,152,236,2,16.5,0.5,0.5,0.0,0.0,0.0,17.5,,
18,1,2012-11-01 00:12:45,2012-11-01 00:48:19,1,6.1,1,N,161,129,2,26.5,0.5,0.5,0.0,0.0,0.0,27.5,,
19,1,2012-11-01 00:18:24,2012-11-01 00:28:56,1,2.1,1,N,163,234,1,9.5,0.5,0.5,1.0,0.0,0.0,11.5,,
20,1,2012-11-01 00:47:01,2012-11-01 00:48:47,1,0.6,1,N,50,142,1,4.0,0.5,0.5,1.0,0.0,0.0,6.0,,
21,1,2012-11-01 00:50:16,2012-11-01 01:02:00,1,2.6,1,N,142,262,2,11.0,0.5,0.5,0.0,0.0,0.0,12.0,,
22,1,2012-11-01 00:04:56,2012-11-01 00:10:19,1,1.2,1,N,163,162,2,6.0,0.5,0.5,0.0,0.0,0.0,7.0,,
23,1,2012-11-01 00:12:49,2012-11-01 00:20:08,1,2.5,1,Y,233,148,1,9.0,0.5,0.5,2.5,0.0,0.0,12.5,,
24,1,2012-11-01 00:23:04,2012-11-01 00:40:46,1,4.8,1,N,79,143,1,16.5,0.5,0.5,5.0,0.0,0.0,22.5,,
25,2,2012-11-01 00:21:00,2012-11-01 00:29:00,1,1.05,2,,75,236,2,52.0,0.0,0.5,0.0,4.8,0.0,57.3,,
26,1,2012-11-01 00:26:03,2012-11-01 00:30:41,2,2.1,1,N,233,262,1,7.5,0.5,0.5,1.7,0.0,0.0,10.2,,
27,1,2012-11-01 00:32:55,2012-11-01 00:36:14,1,0.9,1,N,236,238,1,5.5,0.5,0.5,0.0,0.0,0.0,6.5,,
28,1,2012-11-01 00:39:42,2012-11-01 00:51:34,2,3.4,1,N,238,116,1,12.5,0.5,0.5,3.0,0.0,0.0,16.5,,
29,1,2012-11-01 00:10:59,2012-11-01 00:17:32,2,2.9,1,N,255,65,1,10.0,0.5,0.5,2.2,0.0,0.0,13.2,,
30,1,2012-11-01 00:39:12,2012-11-01 00:47:50,4,1.8,1,N,164,163,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
31,1,2012-11-01 00:53:32,2012-11-01 00:56:36,2,0.5,1,N,162,233,1,4.0,0.5,0.5,2.0,0.0,0.0,7.0,,
32,1,2012-11-01 00:08:19,2012-11-01 00:13:27,1,2.1,1,Y,229,79,1,8.0,0.5,0.5,2.7,0.0,0.0,11.7,,
33,1,2012-11-01 00:29:06,2012-11-01 00:36:07,2,1.7,1,N,186,163,2,7.5,0.5,0.5,0.0,0.0,0.0,8.5,,
34,1,2012-11-01 00:38:40,2012-11-01 01:08:02,1,14.4,1,N,163,178,2,40.0,0.5,0.5,0.0,0.0,0.0,41.0,,
35,2,2012-11-01 00:40:00,2012-11-01 00:46:00,1,1.62,1,,237,162,1,7.5,0.5,0.5,1.6,0.0,0.0,10.1,,
36,1,2012-11-01 00:01:56,2012-11-01 00:07:53,1,1.9,1,N,159,74,2,8.0,0.5,0.5,0.0,0.0,0.0,9.0,,
37,1,2012-11-01 00:14:42,2012-11-01 00:20:31,1,1.2,1,N,168,42,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
38,1,2012-11-01 00:11:40,2012-11-01 00:51:00,1,8.9,1,N,170,95,1,34.0,0.5,0.5,7.0,0.0,0.0,42.0,,
39,1,2012-11-01 00:31:29,2012-11-01 00:52:57,1,5.0,1,N,100,226,2,19.5,0.5,0.5,0.0,0.0,0.0,20.5,,
40,1,2012-11-01 00:55:23,2012-11-01 01:14:26,1,4.5,1,N,226,48,2,18.0,0.5,0.5,0.0,0.0,0.0,19.0,,
41,1,2012-11-01 00:05:53,2012-11-01 00:12:07,2,1.0,1,N,141,229,1,6.5,0.5,0.5,0.5,0.0,0.0,8.0,,
42,1,2012-11-01 00:16:42,2012-11-01 00:26:23,2,3.7,1,N,229,74,2,12.0,0.5,0.5,0.0,0.0,0.0,13.0,,
43,1,2012-11-01 00:29:52,2012-11-01 00:45:04,2,3.9,1,N,74,167,2,14.5,0.5,0.5,0.0,0.0,0.0,15.5,,
44,2,2012-11-01 00:02:00,2012-11-01 00:08:00,1,0.93,1,,162,230,1,5.5,0.5,0.5,1.2,0.0,0.0,7.7,,
45,2,2012-11-01 00:10:00,2012-11-01 00:19:00,1,2.0,1,,48,158,1,8.5,0.5,0.5,1.5,0.0,0.0,11.0,,
46,2,2012-11-01 00:48:00,2012-11-01 01:08:00,1,2.97,1,,162,162,2,15.0,0.5,0.5,0.0,0.0,0.0,16.0,,
47,2,2012-11-01 00:07:00,2012-11-01 00:23:00,1,7.45,1,,233,69,2,22.0,0.5,0.5,0.0,0.0,0.0,23.0,,
48,2,2012-11-01 00:51:00,2012-11-01 00:56:00,1,1.15,1,,141,236,1,6.0,0.5,0.5,1.0,0.0,0.0,8.0,,
49,2,2012-11-01 00:57:00,2012-11-01 01:01:00,1,0.74,1,,263,263,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
50,1,2012-11-01 00:36:31,2012-11-01 00:50:20,1,5.4,1,Y,238,209,1,17.5,0.5,0.5,3.7,0.0,0.0,22.2,,
51,1,2012-11-01 00:01:22,2012-11-01 00:13:56,1,2.2,1,N,140,48,2,11.0,0.5,0.5,0.0,0.0,0.0,12.0,,
52,1,2012-11-01 00:25:34,2012-11-01 00:26:54,1,0.6,1,N,229,140,1,4.0,0.5,0.5,1.5,0.0,0.0,6.5,,
53,1,2012-11-01 00:37:18,2012-11-01 01:16:56,2,19.2,2,N,132,48,2,52.0,0.0,0.5,0.0,0.0,0.0,52.5,,
54,2,2012-11-01 00:41:00,2012-11-01 00:42:00,1,0.38,1,,100,100,2,3.5,0.5,0.5,0.0,0.0,0.0,4.5,,
55,1,2012-11-01 00:09:07,2012-11-01 00:15:43,1,1.8,1,N,263,74,2,7.5,0.5,0.5,0.0,0.0,0.0,8.5,,
56,1,2012-11-01 00:36:33,2012-11-01 00:41:48,1,1.3,1,N,230,43,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
57,1,2012-11-01 00:42:09,2012-11-01 00:42:21,1,0.0,1,N,43,43,2,2.5,0.5,0.5,0.0,0.0,0.0,3.5,,
58,1,2012-11-01 00:49:59,2012-11-01 00:55:43,1,1.0,1,N,48,163,1,6.0,0.5,0.5,1.4,0.0,0.0,8.4,,
59,1,2012-11-01 00:05:47,2012-11-01 00:10:50,1,1.0,1,N,246,161,1,5.5,0.5,0.5,1.3,0.0,0.0,7.8,,
60,1,2012-11-01 00:23:52,2012-11-01 00:35:17,1,2.8,1,Y,161,79,1,11.0,0.5,0.5,2.4,0.0,0.0,14.4,,
61,1,2012-11-01 00:50:05,2012-11-01 00:57:18,1,1.7,1,N,170,163,1,8.0,0.5,0.5,1.5,0.0,0.0,10.5,,
