,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2012-03-01 00:00:07,2012-03-01 00:18:58,1,4.0,1,N,33,36,2,13.3,0.5,0.5,0.0,0.0,0.0,14.3,,
1,1,2012-03-01 00:37:18,2012-03-01 00:50:49,1,3.9,1,N,148,106,2,12.1,0.5,0.5,0.0,0.0,0.0,13.1,,
2,1,2012-03-01 00:12:02,2012-03-01 00:14:06,1,0.9,1,N,233,229,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
3,1,2012-03-01 00:17:37,2012-03-01 00:24:26,1,1.0,1,N,233,230,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
4,1,2012-03-01 00:28:42,2012-03-01 01:03:13,2,8.0,1,N,230,49,1,23.7,0.5,0.5,4.5,0.0,0.0,29.2,,
5,1,2012-03-01 00:01:13,2012-03-01 00:13:42,1,2.3,1,N,163,90,1,8.9,0.5,0.5,0.0,0.0,0.0,9.9,,
6,1,2012-03-01 00:00:23,2012-03-01 00:11:19,1,5.0,1,N,87,162,1,13.3,0.5,0.5,2.85,0.0,0.0,17.15,,
7,1,2012-03-01 00:13:33,2012-03-01 00:25:35,2,3.2,1,N,162,238,1,10.5,0.5,0.5,2.3,0.0,0.0,13.8,,
8,1,2012-03-01 00:35:29,2012-03-01 00:45:52,1,2.2,1,N,143,161,1,8.1,0.5,0.5,1.8,0.0,0.0,10.9,,
9,1,2012-03-01 00:53:05,2012-03-01 00:59:00,1,1.7,1,N,162,234,1,6.5,0.5,0.5,1.0,0.0,0.0,8.5,,
10,2,2012-03-01 00:34:00,2012-03-01 00:42:00,1,2.51,1,,234,231,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
11,2,2012-03-01 00:55:00,2012-03-01 01:08:00,1,4.31,1,,114,142,2,11.7,0.5,0.5,0.0,0.0,0.0,12.7,,
12,1,2012-03-01 00:04:07,2012-03-01 00:07:54,1,1.7,1,N,233,262,1,6.1,0.5,0.5,1.0,0.0,0.0,8.1,,
13,1,2012-03-01 00:23:58,2012-03-01 00:27:51,2,1.3,1,N,236,74,2,5.3,0.5,0.5,0.0,0.0,0.0,6.3,,
14,1,2012-03-01 00:05:56,2012-03-01 00:11:48,1,0.7,1,N,224,107,1,5.3,0.5,0.5,0.0,0.0,0.0,6.3,,
15,1,2012-03-01 00:19:24,2012-03-01 00:33:42,1,2.7,1,N,234,142,2,10.5,0.5,0.5,0.0,0.0,0.0,11.5,,
16,1,2012-03-01 00:08:21,2012-03-01 00:14:42,1,1.8,1,N,113,186,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
17,1,2012-03-01 00:15:07,2012-03-01 00:20:11,1,1.0,1,N,186,170,2,4.9,0.5,0.5,0.0,0.0,0.0,5.9,,
18,1,2012-03-01 00:39:02,2012-03-01 00:55:09,2,4.2,1,N,249,141,1,12.9,0.5,0.5,2.78,0.0,0.0,16.68,,
19,1,2012-03-01 00:42:31,2012-03-01 01:08:37,1,7.0,1,N,4,188,2,19.7,0.5,0.5,0.0,0.0,0.0,20.7,,
20,1,2012-03-01 00:54:18,2012-03-01 01:13:42,1,8.4,1,N,140,106,1,20.9,0.5,0.5,1.0,0.0,0.0,22.9,,
21,1,2012-03-01 00:05:16,2012-03-01 00:10:02,1,1.6,1,N,264,264,2,5.7,0.5,0.5,0.0,0.0,0.0,6.7,,
22,1,2012-03-01 00:32:05,2012-03-01 00:33:41,1,0.6,1,N,264,264,1,3.7,0.5,0.5,0.94,0.0,0.0,5.64,,
23,1,2012-03-01 00:51:17,2012-03-01 00:55:07,1,0.4,1,N,264,264,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
24,1,2012-03-01 00:12:23,2012-03-01 00:19:40,1,2.4,1,N,161,262,1,7.7,0.5,0.5,1.74,0.0,0.0,10.44,,
25,1,2012-03-01 00:25:36,2012-03-01 00:49:03,1,7.6,1,N,141,244,1,20.9,0.5,0.5,4.38,0.0,0.0,26.28,,
26,2,2012-03-01 00:04:00,2012-03-01 00:11:00,1,2.02,1,,113,100,2,7.3,0.5,0.5,0.0,0.0,0.0,8.3,,
27,2,2012-03-01 00:16:00,2012-03-01 00:44:00,1,8.92,1,,48,40,2,23.3,0.5,0.5,0.0,0.0,0.0,24.3,,
28,2,2012-03-01 00:10:00,2012-03-01 00:14:00,1,1.4,1,,140,236,1,5.3,0.5,0.5,1.16,0.0,0.0,7.46,,
29,2,2012-03-01 00:26:00,2012-03-01 00:36:00,1,3.64,1,,162,226,1,10.5,0.5,0.5,2.75,0.0,0.0,14.25,,
