,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,2,2012-02-01 00:40:00,2012-02-01 00:47:00,1,3.38,1,,132,218,2,9.3,0.5,0.5,0.0,0.0,0.0,10.3,,
1,2,2012-02-01 00:50:00,2012-02-01 00:59:00,1,1.61,1,,48,164,2,6.9,0.5,0.5,0.0,0.0,0.0,7.9,,
2,1,2012-02-01 00:02:49,2012-02-01 00:12:45,1,1.4,1,N,79,158,2,7.3,0.5,0.5,0.0,0.0,0.0,8.3,,
3,1,2012-02-01 00:18:59,2012-02-01 00:24:35,1,1.3,1,N,161,50,1,5.7,0.5,0.5,1.0,0.0,0.0,7.7,,
4,1,2012-02-01 00:25:40,2012-02-01 00:50:41,1,6.4,1,N,246,256,1,18.1,0.5,0.5,0.0,0.0,0.0,19.1,,
5,1,2012-02-01 00:37:13,2012-02-01 01:03:40,1,7.5,1,N,246,223,2,20.9,0.5,0.5,0.0,0.0,0.0,21.9,,
6,1,2012-02-01 00:18:24,2012-02-01 00:21:58,1,0.8,1,N,152,41,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
7,1,2012-02-01 00:31:03,2012-02-01 00:36:27,1,1.6,1,N,238,143,2,6.5,0.5,0.5,0.0,0.0,0.0,7.5,,
8,1,2012-02-01 00:47:47,2012-02-01 00:53:41,1,1.6,1,N,230,90,1,6.1,0.5,0.5,1.0,0.0,0.0,8.1,,
9,1,2012-02-01 00:11:46,2012-02-01 00:14:28,1,0.8,1,N,141,263,1,4.1,0.5,0.5,1.02,0.0,0.0,6.12,,
10,1,2012-02-01 00:35:25,2012-02-01 00:41:54,1,2.1,1,N,170,237,1,7.3,0.5,0.5,1.66,0.0,0.0,9.96,,
