,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
0,1,2012-01-01 00:07:56,2012-01-01 00:12:09,1,0.9,1,N,158,231,2,4.9,0.5,0.5,0.0,0.0,0.0,5.9,,
1,1,2012-01-01 00:18:49,2012-01-01 00:30:01,1,2.3,1,N,231,164,2,8.5,0.5,0.5,0.0,0.0,0.0,9.5,,
2,1,2012-01-01 00:31:38,2012-01-01 00:46:05,1,2.2,1,N,164,148,2,9.3,0.5,0.5,0.0,0.0,0.0,10.3,,
3,1,2012-01-01 00:47:35,2012-01-01 00:55:57,4,0.9,1,N,148,107,2,5.3,0.5,0.5,0.0,0.0,0.0,6.3,,
4,1,2012-01-01 00:57:08,2012-01-01 01:02:42,3,0.7,1,N,107,107,2,4.5,0.5,0.5,0.0,0.0,0.0,5.5,,
5,1,2012-01-01 00:47:10,2012-01-01 01:06:18,1,4.7,1,N,226,239,1,14.9,0.5,0.5,2.0,0.0,0.0,17.9,,
6,1,2012-01-01 00:16:42,2012-01-01 00:40:14,1,2.3,1,N,234,237,2,12.9,0.5,0.5,0.0,0.0,0.0,13.9,,
7,1,2012-01-01 00:40:46,2012-01-01 01:03:49,1,2.2,1,N,237,68,1,12.9,0.5,0.5,2.0,0.0,0.0,15.9,,
8,1,2012-01-01 00:10:04,2012-01-01 00:20:54,1,2.4,1,N,161,263,1,8.9,0.5,0.5,2.97,0.0,0.0,12.87,,
9,1,2012-01-01 00:28:10,2012-01-01 00:32:50,1,1.4,1,N,237,236,1,5.3,0.5,0.5,1.89,0.0,0.0,8.19,,
10,1,2012-01-01 00:34:25,2012-01-01 00:45:36,1,2.7,1,N,236,162,1,8.9,0.5,0.5,2.0,0.0,0.0,11.9,,
11,1,2012-01-01 00:56:11,2012-01-01 01:15:07,1,3.7,1,N,107,142,1,12.5,0.5,0.5,2.7,0.0,0.0,16.2,,
12,1,2012-01-01 00:11:04,2012-01-01 00:26:58,3,2.5,1,N,48,236,1,10.9,0.5,0.5,2.97,0.0,0.0,14.87,,
13,1,2012-01-01 00:35:44,2012-01-01 01:18:25,1,4.8,1,N,237,249,2,22.1,0.5,0.5,0.0,0.0,0.0,23.1,,
14,1,2012-01-01 00:10:50,2012-01-01 00:21:47,1,1.1,1,N,163,48,2,6.9,0.5,0.5,0.0,0.0,0.0,7.9,,
15,1,2012-01-01 00:25:20,2012-01-01 00:41:03,1,3.5,1,N,142,41,2,11.7,0.5,0.5,0.0,0.0,0.0,12.7,,
16,1,2012-01-01 00:29:33,2012-01-01 00:38:58,2,2.1,1,N,95,95,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
17,1,2012-01-01 00:42:15,2012-01-01 00:48:08,1,2.6,1,N,95,121,2,8.1,0.5,0.5,0.0,0.0,0.0,9.1,,
18,1,2012-01-01 00:56:45,2012-01-01 01:04:36,3,2.3,1,N,95,135,2,7.7,0.5,0.5,0.0,0.0,0.0,8.7,,
19,1,2012-01-01 00:01:21,2012-01-01 00:07:18,1,1.6,1,N,229,107,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
20,1,2012-01-01 00:22:41,2012-01-01 00:28:29,1,1.5,1,N,162,229,2,6.1,0.5,0.5,0.0,0.0,0.0,7.1,,
21,1,2012-01-01 00:30:40,2012-01-01 00:41:17,1,3.8,1,N,141,232,1,11.3,0.5,0.5,1.0,0.0,0.0,13.3,,
22,1,2012-01-01 00:46:06,2012-01-01 01:07:18,1,10.9,1,N,232,243,2,25.3,0.5,0.5,0.0,0.0,0.0,26.3,,
23,1,2012-01-01 00:10:32,2012-01-01 00:15:57,1,1.2,1,N,249,186,2,5.3,0.5,0.5,0.0,0.0,0.0,6.3,,
24,1,2012-01-01 00:26:58,2012-01-01 00:56:46,2,9.0,1,N,246,129,2,24.9,0.5,0.5,0.0,4.8,0.0,30.7,,
25,1,2012-01-01 00:29:26,2012-01-01 00:50:40,2,8.3,1,N,264,264,2,20.9,0.5,0.5,0.0,4.8,0.0,26.7,,
26,1,2012-01-01 00:06:22,2012-01-01 00:17:57,1,2.3,1,N,246,113,2,8.1,0.5,0.5,0.0,0.0,0.0,9.1,,
27,1,2012-01-01 00:21:33,2012-01-01 00:30:05,1,1.5,1,N,113,90,1,6.5,0.5,0.5,1.5,0.0,0.0,9.0,,
28,1,2012-01-01 00:39:18,2012-01-01 01:12:34,4,8.5,1,N,50,33,2,24.9,0.5,0.5,0.0,0.0,0.0,25.9,,
29,1,2012-01-01 00:23:06,2012-01-01 00:34:54,1,2.1,1,N,237,50,1,8.5,0.5,0.5,2.0,0.0,0.0,11.5,,
30,1,2012-01-01 00:39:45,2012-01-01 01:00:20,1,5.4,1,N,50,112,2,16.5,0.5,0.5,0.0,0.0,0.0,17.5,,
31,1,2012-01-01 00:25:26,2012-01-01 00:40:26,2,2.0,1,N,142,161,1,9.7,0.5,0.5,2.14,0.0,0.0,12.84,,
32,1,2012-01-01 00:44:18,2012-01-01 00:48:21,1,0.1,1,N,161,164,2,4.1,0.5,0.5,0.0,0.0,0.0,5.1,,
