,min_long,min_lat,max_long,max_lat
0,-75.04124968475999,41.09708336984,-74.61458301979998,41.5237500348
1,-74.61458301979998,41.09708336984,-74.18791635483998,41.5237500348
2,-74.18791635483998,41.09708336984,-73.76124968987999,41.5237500348
3,-73.76124968987999,41.09708336984,-73.33458302492,41.5237500348
4,-73.33458302492,41.09708336984,-72.90791635995998,41.5237500348
5,-75.04124968475999,40.67041670488,-74.61458301979998,41.09708336984
6,-74.61458301979998,40.67041670488,-74.18791635483998,41.09708336984
7,-74.18791635483998,40.67041670488,-73.76124968987999,41.09708336984
8,-73.76124968987999,40.67041670488,-73.33458302492,41.09708336984
9,-73.33458302492,40.67041670488,-72.90791635995998,41.09708336984
10,-75.04124968475999,40.24375003992,-74.61458301979998,40.67041670488
11,-74.61458301979998,40.24375003992,-74.18791635483998,40.67041670488
12,-74.18791635483998,40.24375003992,-73.76124968987999,40.67041670488
13,-73.76124968987999,40.24375003992,-73.33458302492,40.67041670488
14,-73.33458302492,40.24375003992,-72.90791635995998,40.67041670488
15,-75.04124968475999,39.81708337496,-74.61458301979998,40.24375003992
16,-74.61458301979998,39.81708337496,-74.18791635483998,40.24375003992
17,-74.18791635483998,39.81708337496,-73.76124968987999,40.24375003992
18,-73.76124968987999,39.81708337496,-73.33458302492,40.24375003992
19,-73.33458302492,39.81708337496,-72.90791635995998,40.24375003992
