Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude,Georeference
downed tree,NJ DOT - STMC,US 22,westbound,North Plainfield,Somerset,NJ,08/28/2011 12:33:00 PM,08/29/2011 01:42:00 AM,NJ DOT - STMC: Downed tree on US 22 westbound at West End Av (North Plainfield)  all lanes closed,NJ DOT - STMC,40.61,-74.45,POINT (-74.45 40.61)
roadwork,NYSDOT - Region 11,I-678,northbound,,,NY,02/18/2011 10:14:00 AM,02/18/2011 02:13:12 AM,NYSDOT - Region 11: Roadwork on I-678 northbound at Nassau Expressway; NY 878 (New York)  right lane closed until 2:00 P.M.,NYSDOT - Region 11,40.66,-73.8,POINT (-73.8 40.66)
construction,Port Authority New York/New Jersey,Holland Tunnel,Eastbound,Jersey City,Hudson,NY,02/23/2016 11:36:12 PM,02/24/2016 04:13:19 AM,"Construction, tunnel repairs on Holland Tunnel eastbound New Jersey Side - South Tube (Jersey City) to New York Side - South Tube (Manhattan) 1 lane blocked until 5:00 A.M.",Port Authority New York/New Jersey,40.728114,-74.02468,POINT (-74.02468 40.728114)
"weather related, speed advisory",New Jersey Turnpike Authority,Garden State Parkway,Both directions,Cape May,Cape May,NJ,01/03/2022 07:16:37 AM,01/04/2022 09:26:58 AM,,New Jersey Turnpike Authority,38.9613,-74.903305,POINT (-74.903305 38.9613)
accident,New Jersey Turnpike Authority,Garden State Parkway,Northbound,Woodbridge Twp,Middlesex,NJ,04/29/2015 09:13:00 AM,04/29/2015 09:51:00 AM,Accident on Garden State Parkway northbound South of Exit 130 - US 1 (Woodbridge Twp) right lane blocked,New Jersey Turnpike Authority,40.546634,-74.31279,POINT (-74.31279 40.546634)
Construction,NYSDOT - Region 11,I-278,eastbound,New York,Kings,NY,08/24/2012 03:39:28 AM,08/30/2012 05:17:00 AM,NYSDOT - Region 11: construction on I-278 eastbound ramp from 6th Avenue (New York)  Not currently scheduled,NYSDOT - Region 11,40.63,-74.01,POINT (-74.01 40.63)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 3,Westbound,between Rutherford,Bergen,NJ,02/24/2016 04:36:32 PM,02/24/2016 06:43:24 PM,Delays on NJ 3 westbound between Ridge Rd (Rutherford) and Main Ave (Clifton) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.81723,-74.114493,POINT (-74.114493 40.81723)
incident,MTA NYC Transit Subway,F Line,Both directions,between New York,Queens,NY,01/03/2022 07:19:17 AM,01/03/2022 01:05:51 PM,,MTA NYC Transit Subway,40.712646,-73.783817,POINT (-73.783817 40.712646)
incident,NJ Transit Rail,Bergen County Line and Main Line,,between Hoboken,Hudson,NJ,01/03/2022 07:21:22 PM,01/03/2022 08:03:55 PM,,NJ Transit Rail,40.734843,-74.028046,POINT (-74.028046 40.734843)
road maintenance operations,NYSDOT,West Street Arterial,north,,Onondaga,NY,04/19/2010 08:47:11 AM,04/19/2010 07:32:07 AM,NYSDOT: road maintenance operations on West Street Arterial north at Exit   - I-690; END ROUTE (Syracuse) right shoulder closed from 9:00 A.M. until 7:30 P.M.,CARS,43.05,-76.15,POINT (-76.15 43.05)
incident,NJ Transit Bus,# 403 Bus,Westbound,from Washington Twp,Gloucester,NJ,02/24/2016 07:16:13 PM,02/24/2016 08:12:22 PM,"Due to Earlier equipment problems, westbound # 403 Bus from Turnersville (Washington Twp) to Walter Rand Transportation Center (Camden) the 6:26PM departure is experiencing delays of up to 45 minutes",NJ Transit Bus,39.942005,-75.11286,POINT (-75.11286 39.942005)
,NYSDOT,SR-23 S,,,,,05/29/2022 11:21:54 PM,05/30/2022 12:02:13 AM,,NYSDOT,40.905032,-74.258105,POINT (-74.258105 40.905032)
accident,NYSDOT,I-87 - NYS Thruway,Northbound,,Rockland,NY,06/14/2015 11:38:00 AM,06/14/2015 11:45:00 AM,"accident on I-87 - NYS Thruway northbound at Exit 15 (I-87) - I-287S - Rte 17S starting 11:39 AM, 06/14/2015 until further notice.",NYSDOT,41.118838,-74.159414,POINT (-74.159414 41.118838)
delays,CT DOT-Bridgeport-Oper,S8N,northbound,BRIDGEPORT,Fairfield,CT,12/06/2013 05:54:00 AM,12/06/2013 06:46:00 AM,"ConnDOT: Delays. RT8 Northbound is congested between Exits 5 and 11 (3.2 miles). Reported Friday, December 6 at 5:54 pm.",CT DOT-Bridgeport-Oper,41.2081,-73.1897,POINT (-73.1897 41.2081)
incident,MTA - Metro-North Railroad,Hudson,Both directions,between Philipstown,Putnam,NY,09/24/2022 01:20:58 PM,09/24/2022 03:21:35 PM,,MTA - Metro-North Railroad,41.38178,-73.947202,POINT (-73.947202 41.38178)
accident,NYSDOT,,,,,NY,02/24/2016 10:47:56 AM,02/24/2016 11:20:02 AM,"accident on unknown road at 43.301N, 79.799W until 10:47 AM, 02/25/16",NYSDOT,43.301242,-79.79893,POINT (-79.79893 43.301242)
wrestling,Barclays Center,Barclays Center,,,Kings,NY,03/05/2015 10:43:00 AM,,"Wrestling at Barclays Center (Kings) WWE Summerslam, Sunday August 23rd, 2015, 08:00 PM thru 11:00 PM",Barclays Center,40.683358,-73.976593,POINT (-73.976593 40.683358)
