Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude,Georeference
operational activity,South Jersey Transportation Authority,Atlantic City Expressway,Eastbound,Washington Twp,Gloucester,NJ,01/03/2022 04:55:47 AM,01/04/2022 09:09:51 AM,,South Jersey Transportation Authority,39.76815,-75.048273,POINT (-75.048273 39.76815)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,02/16/2016 05:29:24 AM,02/16/2016 06:46:24 AM,"accident on I-90 - NYS Thruway eastbound between Exit 49 (I-90) - Depew (Rte 78) and Williamsville Toll Barrier starting 5:28 AM, 02/16/2016 until further notice.",NYSDOT,42.951063,-78.7355,POINT (-78.7355 42.951063)
incident,NJ Transit Bus,# 196 Bus,,to Manhattan,New York,NJ,02/16/2016 06:05:39 AM,02/16/2016 07:05:53 AM,"Due to Equipment problems # 196 Bus to Port Authority Bus Terminal (Manhattan) , the 6:01 am departure from Greenwood Lake Park & Ride is disabled and waitng for assistance.",NJ Transit Bus,40.757259,-73.989898,POINT (-73.989898 40.757259)
accident,NYSDOT,I-290,Eastbound,,Erie,NY,02/16/2016 06:11:29 AM,02/16/2016 06:17:25 AM,"accident on I-290 eastbound between Exit 6 - NY 240  Harlem Road and Exit 7A - 7B - NY 5 Main Street until 6:10 AM, 02/17/16",NYSDOT,42.975028,-78.779005,POINT (-78.779005 42.975028)
incident,MTA NYC Transit Bus,B61 Bus,Both directions,at Brooklyn,Kings,NY,02/16/2016 06:22:35 PM,02/17/2016 04:20:48 AM,"Due to Flooding, both directions B61 Bus at Smith Street: Ninth Street (Brooklyn) buses operate on a detour until further notice",MTA NYC Transit Bus,40.674779,-73.997769,POINT (-73.997769 40.674779)
incident,MTA NYC Transit Bus,Bx32 Bus,Both directions,between New York,Bronx,NY,09/23/2022 03:43:41 PM,09/25/2022 07:48:39 PM,,MTA NYC Transit Bus,40.853965,-73.907288,POINT (-73.907288 40.853965)
construction,New York State Department of Transportation (Region 11),Brooklyn Bridge,Eastbound,between Manhattan,New York,NY,02/16/2016 07:49:59 AM,02/16/2016 03:06:44 PM,Construction on Brooklyn Bridge eastbound between Manhattan Side (Manhattan) and Brooklyn Side (New York) left lane closed until 3:00 P.M.,New York State Department of Transportation (Region 11),40.71079,-74.00294,POINT (-74.00294 40.71079)
accident,NJ DOT - STMC,I-80,westbound,Fairfield Twp,Essex,NJ,08/02/2013 04:19:00 AM,08/02/2013 04:26:00 AM,NJ DOT - STMC: Accident on I-80 westbound East of Exit 47A - I-280 (Fairfield Twp)  right lane closed 15-20 minute delay use caution,NJ DOT - STMC,40.86822791,-74.33082747,POINT (-74.33082747 40.86822791)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 24,Westbound,area of Millburn Twp,Essex,NJ,02/16/2016 08:09:37 AM,02/16/2016 09:47:37 AM,Delays on NJ 24 westbound area of Exit 7 - NJ 124/JFK Parkway (Millburn Twp) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.739627,-74.369338,POINT (-74.369338 40.739627)
accident,NYSDOT,NY 33,Eastbound,,Erie,NY,05/17/2015 05:27:00 AM,05/17/2015 05:56:00 AM,"accident on NY 33 eastbound between East Delavan Avenue and Fillmore Avenue until 5:28 AM, 05/18/15",NYSDOT,42.924196,-78.842071,POINT (-78.842071 42.924196)
incident,MTA NYC Transit Subway,4 Line,Southbound,New York,Bronx,NY,01/03/2022 05:01:53 PM,01/03/2022 07:12:15 PM,,MTA NYC Transit Subway,40.835537,-73.9214,POINT (-73.9214 40.835537)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,02/16/2016 09:18:22 AM,02/16/2016 11:18:27 AM,"accident on I-90 - NYS Thruway eastbound at Exit 54 (I-90) - West Seneca (Rte 16) starting 9:17 AM, 02/16/2016 until further notice.",NYSDOT,42.849892,-78.790484,POINT (-78.790484 42.849892)
delays,New Jersey Turnpike Authority,New Jersey Turnpike,Northbound,,Union,NJ,06/17/2015 08:14:00 AM,06/17/2015 09:58:00 AM,Delays on New Jersey Turnpike outer roadway northbound (Elizabeth) 4 MILE DELAY DUE TO VOLUME,New Jersey Turnpike Authority,40.665784,-74.181522,POINT (-74.181522 40.665784)
incident,NJ Transit Bus,144 Bus,Westbound,between New York,New York,NY,01/03/2022 05:05:35 PM,01/03/2022 06:04:45 PM,,NJ Transit Bus,40.756367,-73.990753,POINT (-73.990753 40.756367)
snow,WTA,US 62,both directions,,,NY,02/28/2010 10:44:33 AM,03/01/2010 12:23:46 PM,WTA: snow on US 62 both directions between NY 83 in Ellington and Sherman Avenue; NY 249; Brant Road; North Collins in North Collins,WTA,42.24,-79.06,POINT (-79.06 42.24)
incident,NJ Transit Bus,162 Bus,,between New York,New York,NY,01/03/2022 05:16:31 PM,01/03/2022 07:15:57 PM,,NJ Transit Bus,40.756367,-73.990753,POINT (-73.990753 40.756367)
accident,New Jersey Turnpike Authority,New Jersey Turnpike,,entering at Newark,Essex,NJ,02/17/2016 02:02:55 PM,02/17/2016 02:22:51 PM,Accident on New Jersey Turnpike entering at Interchange 14 - I-78/US 1&9 (Newark) 1 toll lane blocked,New Jersey Turnpike Authority,40.700846,-74.155014,POINT (-74.155014 40.700846)
construction,New York State Department of Transportation (Region 11),NY 9A,Southbound,between New York,New York,NY,05/13/2015 01:54:00 AM,05/13/2015 06:03:00 AM,Construction on NY 9A southbound between West 60th Street (New York) and West 40th Street (New York) 2 lanes closed until 6:00 A.M.,New York State Department of Transportation (Region 11),40.709999,-74.014602,POINT (-74.014602 40.709999)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 21,Southbound,Newark,Essex,NJ,05/19/2015 07:36:00 AM,05/19/2015 09:34:00 AM,Delays on NJ 21 southbound Chester Av (Newark) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.771161,-74.157005,POINT (-74.157005 40.771161)
incident,NJ Transit Bus,163 Bus,Northbound,between New York,New York,NY,01/03/2022 05:19:25 PM,01/03/2022 08:32:49 PM,,NJ Transit Bus,40.756367,-73.990753,POINT (-73.990753 40.756367)
crash,New Jersey DOT - Statewide Traffic Management Center,I-78,Westbound,Greenwich Twp,Warren,NJ,01/03/2022 05:21:31 AM,01/03/2022 05:43:42 AM,,New Jersey DOT - Statewide Traffic Management Center,40.670626,-75.103155,POINT (-75.103155 40.670626)
incident,Port Authority Trans-Hudson,HOB to 33rd & JSQ to 33rd Line,Both directions,,,NJ,02/17/2016 05:08:38 PM,02/17/2016 06:06:42 PM,"Due to Police activity, both directions HOB to 33rd & JSQ to 33rd Line is operating with delays.",Port Authority Trans-Hudson,40.735888,-74.02931,POINT (-74.02931 40.735888)
concert,Barclays Center,Barclays Center,,at Brooklyn,Kings,NY,01/05/2022 11:35:48 AM,02/15/2022 10:18:52 PM,,Barclays Center,40.683358,-73.976593,POINT (-73.976593 40.683358)
incident,NJ Transit Rail,Morristown Line,,out of Newark,Essex,NJ,02/17/2016 05:20:48 PM,02/17/2016 07:42:02 PM,Due to Earlier equipment problems Morristown Line out of Broad Street Station (Newark) Train # 0643 the 4:52PM train has up to a 15 minute delay,NJ Transit Rail,40.747958,-74.170652,POINT (-74.170652 40.747958)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 17,Southbound,Maywood,Bergen,NJ,06/29/2015 08:50:00 AM,06/29/2015 09:15:00 AM,Delays on NJ 17 southbound Essex St (Maywood) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.889149,-74.069638,POINT (-74.069638 40.889149)
delays,Connecticut Department of Transportation Bridgeport-Operations,I95S,Southbound,at Greenwich,Fairfield,CT,02/17/2016 05:36:47 PM,02/17/2016 06:51:44 PM,"Delays. I-95 Southbound is congested between Exits 4 and 2 (2.9 miles). Reported Wednesday, February 17 at 5:34 pm.",Connecticut Department of Transportation Bridgeport-Operations,41.027802,-73.602925,POINT (-73.602925 41.027802)
emergency maintenance,New Jersey Turnpike Authority,Garden State Parkway,Southbound,Clifton,Passaic,NJ,02/17/2016 06:48:03 PM,02/20/2016 04:42:16 AM,Emergency maintenance on Garden State Parkway southbound Exit 153A - NJ 3 (Clifton) left shoulder closed for repairs until further notice,New Jersey Turnpike Authority,40.849681,-74.177943,POINT (-74.177943 40.849681)
accident,NYSDOT,NY 33,Eastbound,,Erie,NY,02/17/2016 07:34:30 AM,02/17/2016 08:13:31 AM,"accident on NY 33 westbound between Beach Road; Ramp and Union Road; NY 277 until 7:33 AM, 02/18/16",NYSDOT,42.930246,-78.759161,POINT (-78.759161 42.930246)
delays,New Jersey DOT - Statewide Traffic Management Center,US 206,Northbound,approaching Mount Olive Twp,Morris,NJ,06/22/2016 02:37:00 PM,06/22/2016 06:37:00 PM,Delays on US 206 northbound approaching CR 612/Flanders Rd (Mount Olive Twp) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.832978,-74.709401,POINT (-74.709401 40.832978)
incident,NJ Transit Rail,Main Line and Port Jervis Line,,Hoboken,Hudson,NJ,01/03/2022 05:32:59 PM,01/03/2022 07:15:57 PM,,NJ Transit Rail,40.734843,-74.028046,POINT (-74.028046 40.734843)
bridge work,New York State Department of Transportation Region 6,NY 14,Both directions,between Horseheads,Chemung,NY,04/08/2015 08:11:00 AM,,Bridge work on NY 14 both directions between CR 21 (Horseheads) and Watkins Road; CR 67 (Horseheads) Not currently scheduled,New York State Department of Transportation Region 6,42.1888,-76.8346,POINT (-76.8346 42.1888)
disabled vehicle,NYSDOT,Queen Elizabeth Way,Westbound,,Niagara (ON),NY,02/17/2016 09:40:24 AM,02/17/2016 10:03:31 AM,"disabled vehicle on Queen Elizabeth Way westbound between Exit - Thorold Stone Road and Exit - Mountain Road until 1:39 PM, 02/17/16",NYSDOT,43.114712,-79.12017,POINT (-79.12017 43.114712)
delays,New York State Department of Transportation (Region 11),I-495,Westbound,to New York,Queens,NY,05/18/2015 06:23:00 AM,05/18/2015 10:44:00 AM,Delays on I-495 lower level westbound to Exit 17E - I-278 (New York),New York State Department of Transportation (Region 11),40.736999,-73.931701,POINT (-73.931701 40.736999)
incident,MTA Long Island Rail Road,CTY TRM Zone Branch,,at Brooklyn,Kings,NY,02/17/2016 10:33:56 AM,02/17/2016 12:36:54 PM,"Due to Elevator Malfunction CTY TRM Zone Branch at Flatbush Avenue Station (Brooklyn) elevator at Atlantic Terminal #1, West end platforms, adjacent to MTA Police. Between platform/street levels on Hanson Place",MTA Long Island Rail Road,40.632659,-73.947769,POINT (-73.947769 40.632659)
incident,New York State Department of Transportation Region 7,US 11,Southbound,between Stockholm,St Lawrence,NY,01/03/2022 05:44:18 PM,01/03/2022 09:43:49 PM,,New York State Department of Transportation Region 7,44.733828,-74.893997,POINT (-74.893997 44.733828)
crash,New York State Department of Transportation (Region 11),I-495,Eastbound,New York,Queens,NY,01/03/2022 05:44:39 AM,01/03/2022 06:37:54 AM,,New York State Department of Transportation (Region 11),40.73666,-73.854919,POINT (-73.854919 40.73666)
accident,NYSDOT,NY 18,Eastbound,,Niagara,NY,02/17/2016 12:36:35 PM,02/17/2016 12:37:33 PM,"accident on NY 18 westbound between Town of Wilson; Town of Porter Line and Coolidge Avenue until 12:35 PM, 02/18/16",NYSDOT,43.300962,-78.890868,POINT (-78.890868 43.300962)
plowing and salting,New York State Bridge Authority,Kingston-Rhinecliff Bridge,Both directions,Kingston,Ulster,NY,02/18/2016 01:03:48 AM,02/18/2016 04:22:50 AM,Plowing and Salting on Kingston-Rhinecliff Bridge. Use caution.,New York State Bridge Authority,41.98031,-73.95391,POINT (-73.95391 41.98031)
,NYSDOT,Belt Pkwy W,,,,,09/23/2022 06:15:46 AM,09/23/2022 06:44:06 AM,,NYSDOT,40.668392,-73.738459,POINT (-73.738459 40.668392)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 21,Northbound,approaching Clifton,Passaic,NJ,02/18/2016 03:04:51 PM,02/18/2016 07:58:11 PM,Delays on NJ 21 northbound approaching Exit 14 - US 46 (Clifton) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.885762,-74.132285,POINT (-74.132285 40.885762)
incident,MTA NYC Transit Subway,# 6 Line,Southbound,at Manhattan,New York,NY,02/18/2016 03:15:47 PM,02/18/2016 03:49:51 PM,"Due to Equipment problems, southbound # 6 Line at 86th Street Station (Manhattan) experiencing delays.",MTA NYC Transit Subway,40.779523,-73.95569,POINT (-73.95569 40.779523)
deck work,Port Authority New York/New Jersey,New York Expressway/Dyer Avenue,Northbound,,,NY,02/18/2016 03:24:49 PM,02/20/2016 01:17:03 PM,Deck work on New York Expressway/Dyer Avenue northbound Dyer ave. at 31st ST to 33rd ST Not currently scheduled,Port Authority New York/New Jersey,40.752332,-73.99933,POINT (-73.99933 40.752332)
,NYSDOT,Southern State Pkwy E,,,,,05/12/2022 03:09:23 PM,05/12/2022 03:34:18 PM,,NYSDOT,40.68451,-73.610634,POINT (-73.610634 40.68451)
,NYSDOT,Southern State Pkwy E,,,,,09/23/2022 06:15:49 PM,09/23/2022 07:04:10 PM,,NYSDOT,40.701278,-73.488672,POINT (-73.488672 40.701278)
incident,NJ Transit Bus,NJ 3 Buses,Westbound,,Bergen,NJ,02/18/2016 04:14:57 PM,02/18/2016 08:39:40 PM,"Due to Congestion, westbound NJ 3 Buses in Rutherford (Bergen) experiencing delays. Express buses will use NJ Turnpike & Rt-80 West.",NJ Transit Bus,40.817187,-74.114456,POINT (-74.114456 40.817187)
delays,New Jersey Department of Transportation - Traffic Operations Center South,I-295,Southbound,Barrington,Camden,NJ,05/12/2022 03:09:41 PM,05/12/2022 06:37:24 PM,,New Jersey Department of Transportation - Traffic Operations Center South,39.87488,-75.046258,POINT (-75.046258 39.87488)
,NYSDOT,Hutchinson River Pkwy N,,,,,05/12/2022 03:09:44 PM,05/12/2022 03:32:21 PM,,NYSDOT,40.870127,-73.819723,POINT (-73.819723 40.870127)
,NYSDOT,I-95 N,,,,,12/04/2022 12:17:17 PM,12/04/2022 12:24:09 PM,,NYSDOT,41.055963,-73.516896,POINT (-73.516896 41.055963)
specialevents,New York State Department of Transportation (Region 10),Meadowbrook State Parkway,Southbound,at Hempstead,Nassau,NY,05/29/2022 10:52:00 AM,05/29/2022 03:01:44 PM,,New York State Department of Transportation (Region 10),40.651298,-73.5662,POINT (-73.5662 40.651298)
construction,New Jersey Turnpike Authority,New Jersey Turnpike - Pennsylvania Ext.,Westbound,Florence Twp,Burlington,NJ,04/12/2016 06:58:00 PM,04/13/2016 03:40:00 AM,Construction on New Jersey Turnpike - Pennsylvania Ext. westbound East of Delaware River Bridge (Florence Twp) right lane closed for repairs until 6:00 A.M.,New Jersey Turnpike Authority,40.110338,-74.807467,POINT (-74.807467 40.110338)
road maintenance operations,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,04/27/2015 01:29:00 AM,04/27/2015 03:30:00 AM,"road maintenance operations, right lane closed on I-90 - NYS Thruway eastbound at Exit 53 (I-90) - Buffalo (Downtown) - Canada (I-190) until 3:30 AM, 04/27/15",NYSDOT,42.875023,-78.788204,POINT (-78.788204 42.875023)
bridge maintenance operations,NYSDOT,NY 5,east,,Onondaga,NY,06/17/2011 08:15:49 AM,06/17/2011 03:45:36 AM,NYSDOT: bridge maintenance operations on NY 5 east at Route 173 (Camillus) left lane closed from 8:30 A.M. until 2:30 P.M.,CARS,43.05,-76.25,POINT (-76.25 43.05)
,NYSDOT,I-278 W • Gowanus Expwy,,,,,05/29/2022 10:52:04 PM,05/29/2022 11:26:16 PM,Crash I-278 WB 2 Left lanes blocked,NYSDOT,40.644586,-74.018028,POINT (-74.018028 40.644586)
,NYSDOT,to Prospect Pk W / Union St / Flatbush Ave S,,,,,09/23/2022 06:16:28 PM,09/23/2022 07:22:12 PM,,NYSDOT,40.674256,-73.969775,POINT (-73.969775 40.674256)
delays,New Jersey Turnpike Authority,New Jersey Turnpike - Hudson County Extension,Eastbound,Newark,Essex,NJ,02/18/2016 06:54:46 AM,02/18/2016 09:34:51 AM,Delays on New Jersey Turnpike - Hudson County Extension eastbound Interchange 14 - I-78 (Newark) to East of Interchange 14 - I-78 (Newark) 1 mile delay,New Jersey Turnpike Authority,40.70807,-74.156012,POINT (-74.156012 40.70807)
accident,NYSDOT,,,,,NY,02/18/2016 07:26:34 AM,02/18/2016 07:41:32 AM,"accident on unknown road at 43.301N, 79.799W until 7:25 AM, 02/19/16",NYSDOT,43.301161,-79.798614,POINT (-79.798614 43.301161)
vehicle on fire,NYSDOT,I-87 - NYS Thruway,Northbound,,Westchester,NY,02/18/2016 07:40:33 AM,02/18/2016 07:44:43 AM,"vehicle on fire on I-87 - NYS Thruway southbound between Yonkers Toll Barrier and Exit 7 (I-87) - Ardsley (Rte 9A) starting 7:39 AM, 02/18/2016 until further notice.",NYSDOT,40.990127,-73.85318,POINT (-73.85318 40.990127)
incident,MTA NYC Transit Subway,W Line,Both directions,between New York,Queens,NY,01/03/2022 05:49:10 AM,01/03/2022 11:15:58 PM,,MTA NYC Transit Subway,40.775036,-73.912034,POINT (-73.912034 40.775036)
disabled vehicle,NYSDOT,,,,,NY,02/18/2016 07:51:27 AM,02/18/2016 08:01:34 AM,"disabled vehicle on unknown road at 43.250N, 79.762W until 11:50 AM, 02/18/16",NYSDOT,43.25047,-79.762308,POINT (-79.762308 43.25047)
incident,NJ Transit Bus,# 139 Bus,,,Middlesex,NJ,02/18/2016 08:20:48 PM,02/18/2016 09:17:08 PM,Due to Equipment problems # 139 Bus from Old Bridge Park & Ride (Middlesex) to Lakewood is disabled in NY.,NJ Transit Bus,40.445962,-74.299497,POINT (-74.299497 40.445962)
incident,NJ Transit Bus,165 Bus,Both directions,between New York,New York,NY,01/03/2022 05:54:39 PM,01/03/2022 09:38:55 PM,,NJ Transit Bus,40.756209,-73.991001,POINT (-73.991001 40.756209)
debris on roadway,NYSDOT,I-87 - NYS Thruway,Northbound,,Orange,NY,02/18/2016 09:49:39 PM,02/18/2016 09:57:35 PM,"debris on roadway on I-87 - NYS Thruway southbound at Exit 17 (I-87) - Newburgh (I-84 - Rte 17K) starting 9:49 PM, 02/18/2016 until further notice.",NYSDOT,41.509902,-74.074201,POINT (-74.074201 41.509902)
roadwork,Connecticut Department of Transportation-Newington-Highway Operations Center,I91N,Northbound,at Rocky Hill,Hartford,CT,06/16/2015 09:32:00 AM,06/16/2015 12:05:00 PM,"Road Work on I-91 Northbound between Exits 23 and 25 (4.4 miles) in effect today until 3:30 pm. The left lane is closed. Reported Tuesday, June 16 at 9:31 am.",Connecticut Department of Transportation-Newington-Highway Operations Center,41.646239,-72.674053,POINT (-72.674053 41.646239)
police department activity,New York State Department of Transportation (Region 11),I-278,Westbound,at New York,Kings,NY,04/23/2015 05:55:00 AM,04/23/2015 06:52:00 AM,Police department activity on I-278 westbound at Morgan Avenue (New York) right lane blocked,New York State Department of Transportation (Region 11),40.723201,-73.939102,POINT (-73.939102 40.723201)
incident,MTA NYC Transit Bus,B49 Bus,Northbound,area of Brooklyn,Kings,NY,04/07/2015 12:36:00 PM,,"Due to Fire department activity, northbound B49 Bus area of Bedford Avenue:Church Avenue (Brooklyn) Runs on detour and Expect Delays",MTA NYC Transit Bus,40.65052,-73.95578,POINT (-73.95578 40.65052)
special event,MTA Bridges and Tunnels,Queens Midtown Tunnel,,New York,Queens,NY,01/03/2022 06:00:16 AM,01/03/2022 10:02:58 AM,,MTA Bridges and Tunnels,40.742956,-73.961164,POINT (-73.961164 40.742956)
utility work,New Jersey DOT - Statewide Traffic Management Center,US 1&9,Northbound,Linden,Union,NJ,02/18/2016 11:54:08 AM,02/18/2016 03:18:05 PM,Utility work on US 1&9 northbound South of Wood Av (Linden) Not currently scheduled,New Jersey DOT - Statewide Traffic Management Center,40.625577,-74.244216,POINT (-74.244216 40.625577)
,NYSDOT,I-495 E • Long Island Expwy,,,,,05/29/2022 10:56:52 PM,05/29/2022 11:08:18 PM,,NYSDOT,40.735681,-73.858515,POINT (-73.858515 40.735681)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,04/10/2015 11:06:00 AM,,"accident on I-90 - NYS Thruway westbound between Exit 52A (I-90) - Buffalo - William St and Exit 53 (I-90) - Buffalo (Downtown) - Canada (I-190) starting 11:06 AM, 04/10/2015 until further notice.",NYSDOT,42.883133,-78.768825,POINT (-78.768825 42.883133)
delays,New Jersey DOT - Statewide Traffic Management Center,US 9,Northbound,Dennis Twp,Cape May,NJ,05/29/2022 10:57:03 AM,05/29/2022 01:57:32 PM,,New Jersey DOT - Statewide Traffic Management Center,39.169307,-74.741233,POINT (-74.741233 39.169307)
incident,MTA NYC Transit Subway,# 4 & 5 Lines,Southbound,at Bronx,Bronx,NY,06/17/2015 05:57:00 AM,06/17/2015 06:35:00 AM,"Due to Switch problems, southbound # 4 & 5 Lines at 138th Street-Grand Concourse Station (Bronx) trains delayed.",MTA NYC Transit Subway,40.813011,-73.929962,POINT (-73.929962 40.813011)
incident,MTA NYC Transit Bus,BM3 Bus,,New York,New York,NY,01/03/2022 06:16:15 PM,01/03/2022 08:19:48 PM,,MTA NYC Transit Bus,40.709861,-74.00223,POINT (-74.00223 40.709861)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,Hoboken,Hudson,NJ,01/06/2022 03:33:38 AM,01/06/2022 08:01:21 AM,,NJ Transit Rail,40.734059,-74.029192,POINT (-74.029192 40.734059)
construction,New Jersey DOT - Statewide Traffic Management Center,I-280,Eastbound,Kearny,Hudson,NJ,09/23/2022 07:47:53 PM,09/26/2022 03:19:22 PM,,New Jersey DOT - Statewide Traffic Management Center,40.750924,-74.127997,POINT (-74.127997 40.750924)
crash,New York State Department of Transportation (Region 11),Williamsburg Bridge,Westbound,at Manhattan,New York,NY,01/03/2022 06:16:37 AM,01/03/2022 07:18:52 AM,,New York State Department of Transportation (Region 11),40.714947,-73.976205,POINT (-73.976205 40.714947)
incident,MTA NYC Transit Subway,6 Line,Southbound,between New York,Bronx,NY,01/03/2022 06:19:01 AM,01/03/2022 06:47:51 AM,,MTA NYC Transit Subway,40.852462,-73.828121,POINT (-73.828121 40.852462)
special event,Madison Square Garden,The Beacon Theatre,,,New York,NY,02/19/2016 08:06:09 PM,02/19/2016 11:01:01 PM,"Special event, concert on The Beacon Theatre (New York) until 11:00 P.M. 2Cellos",Madison Square Garden,40.780449,-73.981383,POINT (-73.981383 40.780449)
incident,MTA Long Island Rail Road,Ronkonkoma,Westbound,from Islip,Suffolk,NY,01/03/2022 06:28:32 AM,01/03/2022 08:26:44 AM,,MTA Long Island Rail Road,40.808086,-73.10594,POINT (-73.10594 40.808086)
construction,MTA NYC Transit Bus,B11 Bus,Eastbound,at New York,Kings,NY,01/03/2022 06:30:23 AM,01/03/2022 06:29:52 PM,,MTA NYC Transit Bus,40.647742,-74.017809,POINT (-74.017809 40.647742)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,North Bergen Twp,Hudson,NJ,01/03/2022 06:35:03 AM,01/03/2022 07:35:50 AM,,NJ Transit Rail,40.78733,-74.031263,POINT (-74.031263 40.78733)
delays,NJ DOT - STMC,US 1,southbound,Plainsboro Twp,Middlesex,NJ,05/31/2013 03:31:00 AM,05/31/2013 08:23:00 AM,NJ DOT - STMC: Delays on US 1 southbound approaching Scudders Mill Rd (Plainsboro Twp)  delays due to volume,NJ DOT - STMC,40.34340567,-74.62356156,POINT (-74.62356156 40.34340567)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 208,Southbound,between Wyckoff,Bergen,NJ,05/18/2015 09:28:00 AM,05/18/2015 09:46:00 AM,Delays on NJ 208 southbound between Grandview Av (Wyckoff) and Maple Ave (Fair Lawn) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.979063,-74.160239,POINT (-74.160239 40.979063)
accident,NYSDOT - Region 8,I-684,southbound,,,NY,02/03/2011 12:23:00 PM,02/03/2011 01:16:00 AM,NYSDOT - Region 8: Accident on I-684 southbound area of Exit 3 S/N - NY 22 - Bedford - Armonk (North Castle)  right shoulder of 3 lanes blocked,NYSDOT - Region 8,41.12,-73.7,POINT (-73.7 41.12)
accident,NYSDOT,NY 18,Eastbound,,Niagara,NY,06/10/2015 09:27:00 AM,06/10/2015 09:29:00 AM,"accident on NY 18 eastbound between Town of Wilson; Town of Porter Line and Coolidge Avenue until 9:28 AM, 06/11/15",NYSDOT,43.304045,-78.875488,POINT (-78.875488 43.304045)
incident,MTA NYC Transit Subway,L Line,Both directions,at Manhattan,New York,NY,02/20/2016 03:49:04 PM,02/20/2016 05:24:46 PM,"Due to Delays, both directions L Line 1 track operation at 8th Avenue Station (Manhattan)",MTA NYC Transit Subway,40.739821,-74.002544,POINT (-74.002544 40.739821)
incident,MTA Long Island Rail Road,Port Washington,Eastbound,from New York,New York,NY,05/29/2022 10:59:36 PM,05/29/2022 11:59:27 PM,,MTA Long Island Rail Road,40.750588,-73.993584,POINT (-73.993584 40.750588)
construction,MTA Bridges and Tunnels,Verrazano-Narrows Bridge,Eastbound,New York,Kings/Richmond,NY,02/20/2016 06:40:04 AM,02/20/2016 07:08:07 AM,Construction on Verrazano-Narrows Bridge lower level eastbound Brooklyn Bound (New York) cancelled until 7:00 A.M.,MTA Bridges and Tunnels,40.6088,-74.0442,POINT (-74.0442 40.6088)
Construction,South Jersey Transp. Auth.,Atlantic City Expressway,westbound,Hamilton Twp,Atlantic,NJ,09/09/2014 10:07:00 AM,09/10/2014 05:48:00 AM,South Jersey Transp. Auth.: construction on Atlant,South Jersey Transp. Auth.,39.53779713,-74.7200729,POINT (-74.7200729 39.53779713)
specialevents,New York State Department of Transportation (Region 11),Queensboro Bridge,Eastbound,between Manhattan,New York,NY,02/20/2016 09:19:59 PM,02/21/2016 06:08:03 AM,Operational Activity on Queensboro Bridge south outer roadway eastbound between Manhattan Side (Manhattan) and Queens Side (Queens) all lanes closed until 6:00 A.M.,New York State Department of Transportation (Region 11),40.758545,-73.958566,POINT (-73.958566 40.758545)
"single line traffic alternating directions,bridge",NYSDOT,US 20,both directions,,Albany,NY,07/03/2014 09:48:00 AM,07/03/2014 02:02:00 AM,NYSDOT: single line traffic alternating directions,CARS,42.7349,-73.9854,POINT (-73.9854 42.7349)
accident,New Jersey DOT - Statewide Traffic Management Center,Pulaski Skyway,Southbound,area of Jersey City,Hudson,NJ,02/20/2016 12:49:04 AM,02/20/2016 12:54:02 AM,Accident on Pulaski Skyway southbound area of Broadway (Jersey City) right lane closed,New Jersey DOT - Statewide Traffic Management Center,40.7357,-74.0849,POINT (-74.0849 40.7357)
accident with injuries,NJ DOT - STMC,I-80,eastbound,Parsippany-Troy Hills Twp,Morris,NJ,07/20/2014 05:27:00 AM,07/20/2014 06:17:00 AM,NJ DOT - STMC: Accident with Injuries on I-80 expr,NJ DOT - STMC,40.86347762,-74.41246182,POINT (-74.41246182 40.86347762)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,between Hoboken,Hudson,NJ,01/03/2022 06:45:03 AM,01/03/2022 08:03:48 AM,,NJ Transit Rail,40.734059,-74.029192,POINT (-74.029192 40.734059)
accident,NYSDOT,I-87 - NYS Thruway,Northbound,,Rockland,NY,02/21/2016 10:18:50 PM,02/21/2016 11:25:54 PM,"accident on I-87 - NYS Thruway northbound between Spring Valley Toll Barrier and Exit 14B (I-87) - Airmont Rd starting 10:17 PM, 02/21/2016 until further notice.",NYSDOT,41.116461,-74.112535,POINT (-74.112535 41.116461)
crane operations,New York State Department of Transportation (Region 11),West 45th Street,,between New York,New York,NY,02/21/2016 11:02:00 AM,02/21/2016 11:17:07 AM,Crane operations on West 45th Street between 7th Avenue (New York) and 8th Avenue Not currently scheduled,New York State Department of Transportation (Region 11),40.758716,-73.987212,POINT (-73.987212 40.758716)
