Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
special event,Madison Square Garden,Radio City Music Hall,,,,NY,10/01/2010 07:50:33 AM,10/01/2010 11:02:04 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Celtic Thunder,"TRANSCOM, Jersey City",40.75,-73.98
special event,Madison Square Garden,Madison Square Garden,,,,NY,10/01/2010 07:48:03 AM,10/01/2010 11:02:35 AM,Madison Square Garden: Special event on Madison Square Garden at the Theater (Manhattan)  Battle of the Badges Boxing NYPD vs. FDNY,"TRANSCOM, Jersey City",40.74,-73.98
special event,NY Rangers,Madison Square Garden,,,,NY,10/01/2010 06:58:58 AM,10/01/2010 11:00:02 AM,NY Rangers: Special event on Madison Square Garden at the Arena (Manhattan)  NY Rangers vs. Ottawa Senators,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Mets,Citi Field,,,,NY,10/01/2010 06:58:09 AM,10/01/2010 10:02:21 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Washington Nationals,"TRANSCOM, Jersey City",40.75,-73.84
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/30/2010 07:54:01 AM,09/30/2010 10:07:24 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  The Gaslight Anthem from 8pm until 10pm.,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Mets,Citi Field,,,,NY,09/30/2010 06:58:12 AM,09/30/2010 09:48:00 AM,NY Mets: Special event on Citi Field in Queens  New York Mets vs Milwaukee Brewers,"TRANSCOM, Jersey City",40.75,-73.84
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/30/2010 06:47:15 AM,09/30/2010 08:54:23 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Arena (East Rutherford)  Sesame Street Live: Elmo's Healthy Heroes until 9 PM,"TRANSCOM, Jersey City",40.8,-74.07
special event,NY Mets,Citi Field,,,,NY,09/29/2010 06:57:11 AM,09/29/2010 11:02:17 AM,NY Mets: Special event on Citi Field in Queens  until further notice,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Rangers,Madison Square Garden,,,,NY,09/29/2010 06:50:27 AM,09/29/2010 10:14:47 AM,NY Rangers: Special event on Madison Square Garden at the Arena (Manhattan)  NY Rangers vs. Detroit Red Wings from 7:00 pm until 10:00 pm,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Mets,Citi Field,,,,NY,09/29/2010 04:14:21 AM,09/29/2010 07:16:30 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Milwaukee Brewers,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Mets,Citi Field,,,,NY,09/28/2010 07:00:53 AM,09/28/2010 10:22:45 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Milwaukee Brewers,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Mets,Citi Field,,,,NY,09/27/2010 07:12:26 AM,09/27/2010 09:06:24 AM,NY Mets: Special event on Citi Field in Queens  New York Mets vs Milwaukee Brewers game has been postponed this evening due to inclement weather,"TRANSCOM, Jersey City",40.75,-73.84
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/26/2010 12:54:55 PM,09/26/2010 04:06:27 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  NY Giants vs Tennessee Titans until 4pm,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Yankees,Yankee Stadium,,,,NY,09/26/2010 08:32:01 AM,09/27/2010 12:01:34 PM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Boston Red Sox,"TRANSCOM, Jersey City",40.82,-73.92
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/26/2010 08:31:41 AM,09/26/2010 11:01:20 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Sheryl Crow,"TRANSCOM, Jersey City",40.75,-73.98
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/25/2010 07:52:00 AM,09/25/2010 11:51:59 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  The Fab Faux untip 11 PM,"TRANSCOM, Jersey City",40.75,-73.98
