Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
football game,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,12/13/2025 03:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,08/04/2023 06:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,07/29/2023 07:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,07/06/2023 07:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
fair,Meadowlands Complex,Meadowlands Sports Complex,,East Rutherford,Bergen,NJ,06/22/2023 12:00:00 PM,,,Meadowlands Complex,40.814458,-74.071969
festival,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,06/16/2023 12:00:00 PM,,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,05/26/2023 06:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,05/19/2023 05:30:00 PM,,,Meadowlands Complex,40.81346,-74.074287
festival,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,05/06/2023 11:00:00 AM,,,Meadowlands Complex,40.81033,-74.068414
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/29/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,04/29/2023 10:00:00 AM,,,Meadowlands Complex,40.81033,-74.068414
concert,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,04/28/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/28/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
racing,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,04/22/2023 12:00:00 PM,,,Meadowlands Complex,40.81346,-74.074287
kids show/performance,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/22/2023 10:30:00 AM,,,Madison Square Garden,40.75002,-73.99219
show,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/16/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/15/2023 09:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/15/2023 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,04/15/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,04/14/2023 07:30:00 PM,,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/13/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/12/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/11/2023 07:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Radio City Music Hall,,Manhattan,New York,NY,04/06/2023 08:00:00 PM,,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,04/04/2023 08:00:00 PM,,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/31/2022 09:00:13 PM,12/31/2022 11:58:54 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/31/2022 06:20:13 PM,12/31/2022 10:00:45 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Meadowlands Complex,Meadowlands Sports Complex,,at East Rutherford,Bergen,NJ,12/31/2022 08:00:13 AM,12/31/2022 04:02:53 PM,,Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/30/2022 07:30:13 PM,12/30/2022 11:01:22 PM,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/30/2022 06:20:13 PM,12/30/2022 10:02:45 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/30/2022 02:00:13 PM,12/30/2022 04:02:54 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/28/2022 07:30:16 PM,12/28/2022 10:59:00 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/28/2022 05:00:14 PM,12/28/2022 06:58:51 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/28/2022 02:00:13 PM,12/28/2022 03:58:56 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/27/2022 05:00:13 PM,12/27/2022 07:01:30 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 10:00:12 PM,12/26/2022 11:59:49 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/26/2022 07:30:13 PM,12/26/2022 10:59:42 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 07:00:12 PM,12/26/2022 08:57:46 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/26/2022 01:00:13 PM,12/26/2022 02:59:02 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/25/2022 10:00:13 PM,12/26/2022 12:02:51 AM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/25/2022 07:30:16 PM,12/25/2022 09:30:59 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/25/2022 11:00:13 AM,12/25/2022 01:02:28 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/24/2022 07:00:16 PM,12/24/2022 09:02:57 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/24/2022 10:00:13 AM,12/24/2022 11:58:49 AM,,Madison Square Garden,40.759902,-73.980393
special event,Meadowlands Complex,Meadowlands Sports Complex,,at East Rutherford,Bergen,NJ,12/24/2022 08:00:13 AM,12/24/2022 03:58:58 PM,,Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/23/2022 01:00:13 PM,12/23/2022 03:03:20 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/23/2022 10:00:13 AM,12/23/2022 12:02:14 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/22/2022 02:00:13 PM,12/22/2022 03:59:19 PM,,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/19/2022 08:00:00 PM,,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/19/2022 07:00:12 PM,12/19/2022 08:57:55 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/19/2022 01:00:16 PM,12/19/2022 02:59:13 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/18/2022 04:00:13 PM,12/18/2022 05:57:58 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/18/2022 01:00:13 PM,12/18/2022 02:58:59 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/18/2022 10:00:12 AM,12/18/2022 12:01:46 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/17/2022 10:00:12 PM,12/18/2022 12:01:35 AM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/17/2022 09:30:13 PM,12/17/2022 11:32:57 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/17/2022 06:20:13 PM,12/17/2022 11:02:59 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/17/2022 05:00:13 PM,12/17/2022 06:59:57 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/17/2022 04:01:13 PM,12/17/2022 05:58:58 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/17/2022 01:00:13 PM,12/17/2022 03:02:58 PM,,Madison Square Garden,40.759902,-73.980393
special event,Meadowlands Complex,Meadowlands Sports Complex,,at East Rutherford,Bergen,NJ,12/17/2022 08:00:12 AM,12/17/2022 03:58:05 PM,,Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/16/2022 04:00:13 PM,12/16/2022 05:59:04 PM,,Madison Square Garden,40.759902,-73.980393
show,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/16/2022 07:00:00 AM,,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/14/2022 07:30:12 PM,12/14/2022 09:58:01 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/14/2022 05:00:13 PM,12/14/2022 07:01:29 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/14/2022 02:00:13 PM,12/14/2022 04:03:28 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,12/14/2022 08:27:19 AM,01/02/2023 10:17:05 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/13/2022 08:00:13 PM,12/13/2022 11:00:10 PM,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/10/2022 06:20:12 PM,12/10/2022 10:57:56 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/10/2022 05:30:13 PM,12/10/2022 09:02:49 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/10/2022 09:34:35 AM,01/01/2023 12:15:57 AM,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/10/2022 09:31:37 AM,12/31/2022 11:16:52 PM,,Madison Square Garden,40.75002,-73.99219
wrestling,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/10/2022 09:25:48 AM,12/26/2022 11:17:12 PM,,Madison Square Garden,40.75002,-73.99219
basketball game,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,12/10/2022 08:53:28 AM,12/17/2022 08:17:46 PM,,Madison Square Garden,40.75002,-73.99219
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/09/2022 06:20:13 PM,12/09/2022 10:58:53 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,12/08/2022 08:00:13 PM,12/08/2022 10:59:16 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 05:30:17 PM,12/08/2022 06:29:05 PM,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 01:52:17 PM,12/15/2022 08:47:06 PM,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 01:50:51 PM,12/17/2022 07:16:56 PM,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 01:49:48 PM,12/14/2022 02:18:26 PM,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 01:43:43 PM,12/08/2022 08:18:02 PM,,Meadowlands Complex,40.81033,-74.068414
concert,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,12/08/2022 01:41:37 PM,12/08/2022 06:47:29 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/03/2022 06:20:13 PM,12/03/2022 10:58:53 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/02/2022 06:20:16 PM,12/02/2022 11:03:06 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,12/01/2022 06:20:13 PM,12/01/2022 11:00:18 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/30/2022 02:00:16 PM,11/30/2022 03:59:24 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/30/2022 11:00:13 AM,11/30/2022 12:59:17 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/29/2022 02:00:13 PM,11/29/2022 04:03:08 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/28/2022 02:00:12 PM,11/28/2022 04:03:11 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/26/2022 10:00:13 PM,11/26/2022 11:57:50 PM,,Madison Square Garden,40.759902,-73.980393
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,11/26/2022 06:20:13 PM,11/26/2022 09:59:02 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/26/2022 10:00:13 AM,11/26/2022 11:58:59 AM,,Madison Square Garden,40.759902,-73.980393
special event,Meadowlands Complex,Meadowlands Sports Complex,,at East Rutherford,Bergen,NJ,11/26/2022 08:00:13 AM,11/26/2022 03:58:58 PM,,Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/25/2022 10:00:13 PM,11/26/2022 12:01:03 AM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/25/2022 07:00:13 PM,11/25/2022 08:57:58 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/25/2022 01:00:13 PM,11/25/2022 02:58:56 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/24/2022 08:00:13 PM,11/24/2022 09:59:04 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/24/2022 05:00:13 PM,11/24/2022 07:02:57 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/23/2022 06:30:13 PM,11/23/2022 11:01:53 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/23/2022 05:00:13 PM,11/23/2022 06:58:00 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/22/2022 08:00:17 PM,11/22/2022 10:03:10 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/22/2022 11:00:13 AM,11/22/2022 01:00:45 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/21/2022 02:00:13 PM,11/21/2022 04:00:49 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/20/2022 05:30:13 PM,11/20/2022 07:29:09 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/20/2022 05:00:13 PM,11/20/2022 06:59:21 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/20/2022 02:00:13 PM,11/20/2022 04:03:13 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/20/2022 10:30:13 AM,11/20/2022 12:31:58 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/19/2022 09:30:13 PM,11/19/2022 10:59:03 PM,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/19/2022 07:30:13 PM,11/19/2022 09:01:59 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,11/19/2022 06:20:13 PM,11/19/2022 09:59:59 PM,,Meadowlands Complex,40.820231,-74.071787
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,11/19/2022 11:00:13 AM,11/19/2022 12:59:57 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/18/2022 07:30:13 PM,11/18/2022 08:59:12 PM,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:49:25 AM,12/14/2022 10:18:10 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:47:19 AM,12/16/2022 11:17:14 PM,,Madison Square Garden,40.75002,-73.99219
boxing,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:38:32 AM,12/10/2022 09:16:53 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/16/2022 11:36:09 AM,12/10/2022 11:17:50 PM,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:32:32 AM,12/09/2022 11:17:58 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/16/2022 11:30:09 AM,12/06/2022 11:16:57 PM,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/16/2022 11:27:58 AM,12/08/2022 11:17:14 PM,,Madison Square Garden,40.780449,-73.981383
basketball game,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:19:39 AM,12/06/2022 11:16:57 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/16/2022 11:09:33 AM,12/02/2022 11:17:08 PM,,Madison Square Garden,40.780449,-73.981383
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:04:16 AM,12/01/2022 11:17:20 PM,,Madison Square Garden,40.75002,-73.99219
show,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 11:00:35 AM,11/27/2022 10:17:47 PM,,Madison Square Garden,40.75002,-73.99219
hockey game,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 10:56:48 AM,11/26/2022 11:16:58 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 10:53:16 AM,11/26/2022 11:16:58 PM,,Madison Square Garden,40.75002,-73.99219
boxing,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 10:45:41 AM,11/25/2022 10:17:02 PM,,Madison Square Garden,40.75002,-73.99219
concert,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 10:43:14 AM,11/23/2022 11:17:48 PM,,Madison Square Garden,40.75002,-73.99219
play/show,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,11/16/2022 10:40:03 AM,11/20/2022 07:47:58 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/13/2022 07:30:12 PM,11/13/2022 10:33:05 PM,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,New York,New York,NY,11/12/2022 06:15:13 PM,11/12/2022 10:18:10 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/08/2022 07:30:12 PM,11/08/2022 10:28:54 PM,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,11/05/2022 08:00:16 PM,11/05/2022 11:02:31 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,Meadowlands Racetrack,,at East Rutherford,Bergen,NJ,11/05/2022 06:20:13 PM,11/05/2022 10:00:40 PM,,Meadowlands Complex,40.820231,-74.071787
concert,Meadowlands Complex,MetLife Stadium,,at East Rutherford,Bergen,NJ,11/04/2022 08:30:54 AM,11/05/2022 10:17:42 PM,,Meadowlands Complex,40.81346,-74.074287
hockey game,Meadowlands Complex,American Dream Mall,,East Rutherford,Bergen,NJ,11/04/2022 08:27:36 AM,11/20/2022 03:17:03 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,10/30/2022 07:30:13 PM,10/30/2022 10:29:25 PM,,Madison Square Garden,40.780449,-73.981383
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,10/28/2022 03:00:13 PM,10/28/2022 04:32:48 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,10/27/2022 07:30:17 PM,10/27/2022 09:59:38 PM,,Madison Square Garden,40.780449,-73.981383
play/show,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,10/27/2022 04:01:56 PM,10/28/2022 04:49:41 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Meadowlands Complex,American Dream Mall,,at East Rutherford,Bergen,NJ,10/27/2022 11:16:13 AM,11/08/2022 09:48:54 PM,,Meadowlands Complex,40.81033,-74.068414
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,10/26/2022 08:00:14 PM,10/26/2022 11:03:45 PM,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,10/22/2022 05:00:13 PM,10/22/2022 10:01:39 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/15/2022 07:30:13 PM,10/15/2022 10:30:50 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,10/14/2022 03:00:13 PM,10/14/2022 08:01:23 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,The Beacon Theatre,,at Manhattan,New York,NY,10/13/2022 07:30:13 PM,10/13/2022 10:30:56 PM,,Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,10/10/2022 05:00:12 PM,10/10/2022 10:00:51 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,10/09/2022 05:00:13 PM,10/09/2022 10:00:25 PM,,Madison Square Garden,40.75002,-73.99219
special event,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/08/2022 08:01:12 PM,10/08/2022 11:00:46 PM,,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,at New York,New York,NY,10/08/2022 05:00:14 PM,10/08/2022 10:01:49 PM,,Madison Square Garden,40.75002,-73.99219
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:21:10 PM,11/30/2022 04:18:18 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:19:43 PM,11/28/2022 10:17:02 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:18:10 PM,11/29/2022 10:17:13 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:16:30 PM,11/27/2022 10:17:47 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:13:09 PM,11/27/2022 12:15:58 AM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:10:47 PM,11/26/2022 12:16:59 AM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:08:03 PM,11/24/2022 10:16:51 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 04:06:09 PM,11/23/2022 10:16:58 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 11:55:17 AM,11/22/2022 10:17:05 PM,,Madison Square Garden,40.759902,-73.980393
christmas spectacular,Madison Square Garden,Radio City Music Hall,,at Manhattan,New York,NY,10/05/2022 11:53:31 AM,11/21/2022 10:17:08 PM,,Madison Square Garden,40.759902,-73.980393
